Name,Pos,Age,T,RL,OVR,POT,ERA+,FIP,WAR,LEA,WE,INT,Prone,STU,MOV,HRA,BAB,CON,PIT,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,DEM,Sign,ID
Julio Solis,RP,18,L,1.5 Stars,0.5 Stars,1.5 Stars,77.992,5.502,-0.809,N,N,N,Durable,40,45,50,40,50,2,40,-,45,-,-,-,-,-,-,-,-,-,Impossible,Impossible,12971
Fernando Quintana,RP,22,R,3.0 Stars,1.5 Stars,1.5 Stars,83.486,5.469,-0.809,N,L,L,Normal,55,40,35,50,45,2,65,-,-,60,-,-,-,-,-,-,-,-,Slot,Very Easy,12311
Clarros Frontoura,RP,21,L,2.5 Stars,1.5 Stars,2.0 Stars,82.241,5.335,-0.847,N,N,N,Normal,45,45,45,45,50,2,50,-,50,-,-,-,-,-,-,-,-,-,Slot,Easy,12956
Miguel Carreon,RP,22,R,3.0 Stars,1.5 Stars,2.0 Stars,80.874,5.414,-0.859,H,H,N,Normal,60,45,55,40,35,2,60,-,-,60,-,-,-,-,-,-,-,-,Slot,Very Easy,12303
Adan Espach,SP,18,R,1.5 Stars,0.5 Stars,2.0 Stars,77.930,5.605,-0.881,L,N,L,Normal,45,45,45,40,45,3,50,50,-,45,-,-,-,-,-,-,-,-,$190 000,Extremely Hard,12398
Orlando Cabrera,RP,22,R,2.5 Stars,1.0 Stars,1.5 Stars,81.098,5.458,-0.884,N,N,H,Durable,45,50,55,45,40,4,45,45,-,45,-,-,45,-,-,-,-,-,Slot,Very Easy,12334
Danny Rodriguez,SP,18,R,1.5 Stars,0.5 Stars,1.5 Stars,75.969,5.617,-0.894,N,N,H,Normal,45,45,45,40,45,4,45,50,50,-,45,-,-,-,-,-,-,-,$190 000,Extremely Hard,12365
Abdul-Ghafur bin Nawaf,RP,18,L,1.5 Stars,0.5 Stars,2.0 Stars,78.726,5.605,-0.896,N,N,N,Normal,45,45,45,45,45,2,55,-,-,55,-,-,-,-,-,-,-,-,$180 000,Extremely Hard,12405
Richie Leenman,RP,22,R,2.5 Stars,1.0 Stars,2.0 Stars,78.457,5.605,-0.896,N,L,N,Normal,45,45,45,45,45,2,55,-,-,-,-,-,-,-,-,-,50,-,Slot,Hard,12958
Adam Bivins,SP,18,R,1.5 Stars,0.5 Stars,1.5 Stars,73.516,5.977,-0.951,H,N,N,Normal,45,40,40,40,45,3,45,50,-,-,50,-,-,-,-,-,-,-,Impossible,Impossible,12414
Sam Gladding,RP,21,R,2.5 Stars,1.0 Stars,1.5 Stars,73.251,5.873,-0.976,N,L,N,Normal,45,45,50,45,40,2,45,-,60,-,-,-,-,-,-,-,-,-,Slot,Easy,12940
Tommy Thomas,SP,21,L,1.5 Stars,0.5 Stars,1.0 Stars,74.234,5.977,-0.989,N,N,L,Normal,45,40,35,45,45,3,55,50,55,-,-,-,-,-,-,-,-,-,Slot,Easy,10592
Cesar de Leon,SP,19,R,1.5 Stars,0.5 Stars,1.5 Stars,72.910,6.006,-1.005,N,L,N,Normal,45,50,60,45,30,3,45,65,-,40,-,-,-,-,-,-,-,-,Impossible,Impossible,13213
Ryan Ferguson,SP,19,L,1.5 Stars,0.5 Stars,1.5 Stars,79.530,5.682,-1.006,N,N,L,Normal,50,45,50,40,40,3,60,55,-,-,-,60,-,-,-,-,-,-,Slot,Easy,11588
Nick Kenney,SP,21,R,1.5 Stars,0.5 Stars,0.5 Stars,75.669,5.964,-1.006,N,L,N,Fragile,45,40,35,50,45,3,45,50,55,-,-,-,-,-,-,-,-,-,Slot,Normal,10599
Manny Montiel,RP,20,R,2.0 Stars,1.0 Stars,2.0 Stars,73.941,5.776,-1.011,N,N,H,Normal,40,45,50,40,45,2,40,-,-,45,-,-,-,-,-,-,-,-,Slot,Very Easy,13007
Mark Rawson,RP,18,L,1.5 Stars,0.5 Stars,1.5 Stars,77.582,5.886,-1.015,N,N,L,Normal,55,45,40,45,30,2,65,-,55,-,-,-,-,-,-,-,-,-,$180 000,Extremely Hard,12256
Guglielmo Morra,SP,18,L,2.0 Stars,0.5 Stars,1.5 Stars,72.472,5.975,-1.026,N,N,N,Normal,50,45,45,40,35,6,-,55,55,55,-,45,55,-,-,-,55,-,Slot,Normal,12960
Lucila Serna,SP,20,R,1.5 Stars,0.5 Stars,1.5 Stars,75.739,5.705,-1.031,N,N,H,Normal,50,45,45,50,40,3,-,55,60,-,-,-,60,-,-,-,-,-,Slot,Very Easy,10934
Chris Keelin,SP,18,R,1.5 Stars,0.5 Stars,2.0 Stars,71.900,5.990,-1.040,N,N,N,Fragile,45,40,40,40,45,5,50,45,40,-,45,50,-,-,-,-,-,-,$190 000,Extremely Hard,12361
Dong-soo Jung,RP,21,L,2.5 Stars,1.0 Stars,1.5 Stars,81.429,5.657,-1.076,N,H,N,Normal,60,45,45,50,30,2,70,60,-,-,-,-,-,-,-,-,-,-,Slot,Hard,13009
Rainer Jans,SP,21,R,1.5 Stars,0.5 Stars,1.0 Stars,74.389,5.780,-1.115,N,N,N,Normal,35,40,40,40,60,4,45,-,-,-,35,-,45,-,-,-,35,-,Slot,Very Easy,13182
Jamal bin Zaid,SP,21,L,1.5 Stars,0.5 Stars,1.5 Stars,76.905,5.617,-1.117,N,N,N,Normal,45,45,45,40,45,3,45,-,-,50,-,-,50,-,-,-,-,-,Slot,Normal,12974
Tim Howell,RP,22,R,2.0 Stars,0.5 Stars,2.0 Stars,76.950,5.643,-1.148,N,N,N,Normal,55,45,50,45,35,2,45,-,65,-,-,-,-,-,-,-,-,-,Slot,Normal,12990
Robert Lauwers,RP,20,L,3.0 Stars,1.5 Stars,1.5 Stars,75.173,5.996,-1.205,N,N,N,Normal,55,40,40,45,35,2,55,-,65,-,-,-,-,-,-,-,-,-,Slot,Easy,12986
Taylor Stubbs,RP,18,R,1.5 Stars,0.5 Stars,1.5 Stars,74.799,5.860,-1.207,L,N,N,Normal,45,45,50,45,40,3,45,-,-,-,45,-,45,-,-,-,-,-,$190 000,Extremely Hard,12376
Darryl Visser,RP,22,R,2.0 Stars,1.0 Stars,1.5 Stars,74.826,5.671,-1.230,N,N,H,Normal,35,45,50,45,50,4,40,45,-,40,-,-,40,-,-,-,-,-,Slot,Normal,13005
Zeljko Kovacevic,SP,18,R,1.5 Stars,0.5 Stars,1.5 Stars,72.626,5.873,-1.271,N,N,N,Normal,45,45,45,40,40,3,45,55,-,-,50,-,-,-,-,-,-,-,Slot,Normal,12375
Oscar Mateo,RP,18,R,3.0 Stars,1.5 Stars,2.0 Stars,74.431,5.820,-1.285,N,N,N,Normal,50,40,40,40,45,2,60,-,-,-,-,50,-,-,-,-,-,-,$170 000,Extremely Hard,12446
Chris Cobern,SP,21,L,2.0 Stars,0.5 Stars,1.5 Stars,70.107,6.145,-1.288,N,N,H,Normal,45,45,50,45,35,5,45,55,-,50,50,-,-,-,-,-,55,-,Slot,Normal,13006
Connor Jones,SP,18,L,1.5 Stars,0.5 Stars,1.5 Stars,71.300,6.277,-1.391,N,N,N,Normal,40,45,45,40,35,3,45,50,-,-,-,60,-,-,-,-,-,-,Slot,Normal,13014
Colin Laurendeau,SP,17,L,1.5 Stars,0.5 Stars,1.5 Stars,74.835,5.820,-1.413,N,N,H,Normal,50,40,45,40,45,5,-,40,60,50,-,-,50,-,-,-,45,-,$190 000,Extremely Hard,12451
Ilija Grol,RP,22,L,3.0 Stars,1.5 Stars,1.5 Stars,72.233,6.204,-1.481,N,N,N,Normal,50,35,30,45,45,2,50,-,55,-,-,-,-,-,-,-,-,-,Slot,Easy,12338
David Shuler,SP,19,L,1.5 Stars,0.5 Stars,0.5 Stars,72.541,6.204,-1.529,N,N,N,Normal,50,35,30,40,45,3,50,60,-,55,-,-,-,-,-,-,-,-,Slot,Easy,11744
Jimmy Hanley,SP,20,R,1.5 Stars,0.5 Stars,1.0 Stars,73.092,6.062,-1.554,L,L,N,Normal,50,40,35,45,40,3,65,45,-,65,-,-,-,-,-,-,-,-,Slot,Easy,10640
Hyun-koo Lee,SP,22,L,1.5 Stars,0.5 Stars,1.0 Stars,73.671,5.933,-1.561,N,N,N,Normal,35,45,50,40,45,3,40,-,40,-,45,-,-,-,-,-,-,-,Slot,Hard,13190
Sebastian Wilkinson,SP,23,L,1.5 Stars,0.5 Stars,1.0 Stars,69.712,6.292,-1.570,N,N,L,Normal,40,45,45,45,35,4,45,45,40,-,-,-,45,-,-,-,-,-,Slot,Very Easy,12298
Damian Hibbitt,SP,21,R,1.5 Stars,0.5 Stars,1.5 Stars,72.701,5.975,-1.645,N,L,L,Durable,50,45,45,45,35,4,55,55,-,-,60,45,-,-,-,-,-,-,Slot,Hard,10632
Fernando Ramirez,RP,21,R,2.0 Stars,1.0 Stars,1.5 Stars,70.366,6.233,-1.654,N,N,N,Normal,45,40,30,45,40,3,45,-,-,-,40,-,45,-,-,-,-,-,Slot,Very Easy,12919
Chris Sargent,RP,18,R,1.5 Stars,0.5 Stars,0.5 Stars,64.721,6.740,-1.713,L,N,N,Normal,35,45,40,45,30,2,35,-,40,-,-,-,-,-,-,-,-,-,$190 000,Extremely Hard,12393
Adham bin Salman,RP,22,R,1.5 Stars,0.5 Stars,1.5 Stars,68.269,6.180,-1.745,N,N,N,Normal,40,50,50,45,30,3,45,-,-,-,45,-,40,-,-,-,-,-,Slot,Hard,13211
Will Marban,RP,18,R,1.5 Stars,0.5 Stars,1.5 Stars,66.068,6.761,-1.749,N,L,L,Normal,45,40,45,40,30,5,45,50,60,-,-,45,45,-,-,-,-,-,$180 000,Extremely Hard,12382
Alberto Soto,SP,21,R,2.0 Stars,0.5 Stars,1.0 Stars,70.658,6.386,-1.794,N,L,N,Durable,45,45,45,45,30,3,45,50,-,-,50,-,-,-,-,-,-,-,Slot,Normal,12988
Mike Young,SP,22,R,1.5 Stars,0.5 Stars,0.5 Stars,69.748,6.248,-1.802,H,N,N,Normal,45,40,35,45,40,3,55,50,-,-,-,45,-,-,-,-,-,-,Slot,Easy,10852
Aaron Herrick,RP,21,L,2.5 Stars,1.0 Stars,1.5 Stars,68.101,6.716,-1.906,N,N,N,Normal,50,35,30,45,35,3,50,-,55,-,-,-,55,-,-,-,-,-,Slot,Easy,12978
Randy Mccabe,SP,22,R,2.0 Stars,0.5 Stars,0.5 Stars,67.594,6.640,-1.915,N,H,N,Normal,45,45,45,45,25,4,45,50,55,-,-,-,-,55,-,-,-,-,Slot,Normal,13170
Elijah Granger,SP,22,L,1.5 Stars,0.5 Stars,0.5 Stars,65.441,6.778,-2.552,N,N,N,Durable,45,40,35,45,30,6,50,50,50,-,50,45,-,-,-,-,45,-,Slot,Easy,10382
Danny Aguilar,,18,L,2.0 Stars,0.5 Stars,5.0 Stars,,,,L,H,N,Fragile,65,60,75,50,70,3,-,60,-,-,65,-,75,-,-,-,-,-,$3 000 000,Hard,12943
