Name,Age,B,OVR,POT,WAR,LEA,WE,INT,Prone,CON,GAP,POW,EYE,K,SP,STE,RUN,1B ,2B ,3B ,SS ,LF ,CF ,RF ,DEM,Sign,SctAcc,ID,Team,Pos,Bats,HR,OPS+,SB
Paul Horsley,22.0,L,0.5 Stars,2.0 Stars,-1.40,N,H,L,Normal,50,40,50,30,50,60,60,55,40,-,-,-,35,-,25,Slot,Very Easy,Very High,11545.0,-,LF,L,19,79.28,7
Motoyasu Kawamura,18.0,R,0.5 Stars,2.0 Stars,-1.40,N,N,N,Normal,55,40,35,40,65,20,20,35,65,25,25,-,20,-,-,$180k,Extremely Hard,Very High,13403.0,-,C,R,8,73.09,0
Rui Nakagawa,18.0,R,0.5 Stars,2.0 Stars,-1.57,H,N,N,Normal,50,40,45,30,50,35,20,30,55,25,30,-,40,-,35,$180k,Extremely Hard,Very High,13882.0,-,C,R,16,71.37,0
Walter Humphrey,19.0,R,0.5 Stars,2.0 Stars,-1.64,N,N,N,Normal,50,40,40,50,55,25,30,25,30,-,-,-,30,-,25,Impos.,Impossible,Very High,13371.0,-,LF,R,11,80.45,0
Tony Leal,23.0,L,1.0 Stars,2.0 Stars,-1.75,N,L,N,Normal,65,35,30,40,75,45,60,60,60,-,-,-,50,-,45,Slot,Hard,Very High,13934.0,-,CF,L,4,79.54,7
Dave Krisch,19.0,R,0.5 Stars,2.0 Stars,-1.88,N,L,L,Normal,55,45,30,50,80,40,35,40,30,-,-,-,40,-,35,$180k,Extremely Hard,Very High,13351.0,-,RF,R,4,71.73,0
Leonard Eacott,18.0,R,0.5 Stars,2.0 Stars,-2.00,N,N,L,Normal,40,45,45,55,35,40,25,30,45,-,25,-,25,-,-,Slot,Hard,Very High,13844.0,-,3B,R,14,68.84,0
Jeremy Cummings,18.0,R,0.5 Stars,2.0 Stars,-2.75,N,N,N,Durable,50,45,30,50,70,35,30,30,40,-,-,-,35,-,30,$190k,Extremely Hard,Very High,13867.0,-,RF,R,4,64.72,0
Israel Esparza,21.0,R,0.5 Stars,1.5 Stars,1.11,L,L,N,Durable,45,45,45,40,45,25,25,30,40,-,25,-,-,-,-,Slot,Normal,Very High,12316.0,-,C,R,15,70.46,0
Max Koeslag,18.0,R,0.5 Stars,1.5 Stars,0.61,N,N,N,Normal,40,45,45,40,40,35,20,25,55,-,-,-,25,-,-,$190k,Extremely Hard,Very High,13842.0,-,C,R,15,60.59,0
David Perez,19.0,S,0.5 Stars,1.5 Stars,0.10,N,N,L,Normal,45,50,45,45,45,40,50,40,65,55,45,40,50,25,45,$190k,Extremely Hard,Very High,13336.0,-,SS,S,15,76.62,3
Sean Burdette,19.0,R,0.5 Stars,1.5 Stars,-0.18,N,N,L,Normal,45,50,40,35,45,20,20,25,45,-,20,-,30,-,-,$180k,Extremely Hard,Very High,13367.0,-,C,R,12,60.92,0
Bonifacio Atalaya,18.0,R,0.5 Stars,1.5 Stars,-0.23,N,N,L,Normal,45,40,45,30,45,20,20,25,45,-,20,-,-,-,-,Slot,Hard,Very High,13840.0,-,C,R,16,60.08,0
Fortunato Paoli,21.0,R,0.5 Stars,1.5 Stars,-0.43,L,L,L,Normal,40,45,45,40,45,30,30,30,45,-,-,-,30,-,-,Slot,Normal,Very High,11602.0,-,C,R,15,63.09,0
Jimmy Bray,17.0,L,0.5 Stars,1.5 Stars,-1.04,N,H,H,Normal,45,45,45,35,45,65,45,35,50,-,-,-,60,40,55,Slot,Hard,Very High,13881.0,-,CF,L,15,67.23,4
Brian Calvano,19.0,S,0.5 Stars,1.5 Stars,-1.28,N,N,N,Normal,50,45,35,35,50,45,45,40,60,40,-,-,50,35,35,Slot,Normal,Very High,13089.0,-,2B,S,8,63.53,2
Aliyy bin Faysal,19.0,L,0.5 Stars,1.5 Stars,-1.35,N,N,N,Normal,45,50,45,50,35,55,50,45,30,-,-,-,45,-,40,$350k,Extremely Hard,Very High,13326.0,-,RF,L,14,72.84,5
Sean Godwin,21.0,R,0.5 Stars,1.5 Stars,-1.39,N,H,H,Durable,50,40,35,35,55,50,50,35,60,40,25,30,60,40,55,Slot,Normal,Very High,11594.0,-,CF,R,8,61.69,4
Howie Woodcock,21.0,L,0.5 Stars,1.5 Stars,-1.54,N,H,N,Normal,50,45,45,35,50,60,45,40,60,40,50,20,40,-,30,Slot,Easy,High,14534.0,-,SS,L,15,78.06,4
Paul Lawrence,18.0,R,0.5 Stars,1.5 Stars,-1.56,N,N,N,Normal,50,40,25,35,50,35,35,25,30,-,-,-,-,-,-,Slot,Hard,Very High,13893.0,-,C,R,1,47.46,0
Sean Hynds,19.0,R,0.5 Stars,1.5 Stars,-1.91,N,N,N,Normal,45,40,40,45,45,60,40,30,45,30,-,-,30,-,-,$350k,Extremely Hard,Very High,13365.0,-,2B,R,11,66.87,3
Mitchell Irwin,18.0,L,0.5 Stars,1.5 Stars,-3.30,L,H,N,Durable,45,40,35,40,50,40,25,25,65,-,-,-,30,-,20,$170k,Extremely Hard,Very High,13841.0,-,LF,L,8,57.89,0
Tim Wright,18.0,R,0.5 Stars,1.5 Stars,-3.33,H,N,N,Durable,55,30,30,35,65,30,25,30,30,-,-,-,30,-,25,$180k,Extremely Hard,Very High,13397.0,-,LF,R,4,58.30,0
Justin Garrett,22.0,L,0.5 Stars,1.5 Stars,-3.89,N,N,H,Normal,45,45,30,45,55,30,25,20,30,-,-,-,-,-,-,Slot,Easy,Very High,11488.0,-,1B,L,4,54.70,0
Zenichiro Ishii,21.0,L,0.5 Stars,1.5 Stars,-3.90,H,N,N,Normal,45,35,30,35,50,45,40,45,55,-,-,-,50,25,45,Slot,Normal,Very High,12308.0,-,CF,L,4,44.54,1
Manato Nitta,19.0,S,0.5 Stars,1.0 Stars,-3.82,N,N,N,Durable,40,40,35,40,40,40,40,35,45,-,25,-,35,-,30,Slot,Hard,Very High,13389.0,-,LF,S,8,44.88,1
Brandon Edwards,19.0,R,0.5 Stars,0.5 Stars,-3.02,N,N,N,Normal,35,30,35,35,35,40,20,20,40,-,-,-,-,-,-,Slot,Hard,Very High,13329.0,-,C,R,8,26.44,0
Ziaul-Haq bin Saeed,,,,,4.44,,,,,,,,,,,,,,,,,,,,,,,,-,C,R,18,121.28,0
