Name,POS,Age,T,OVR,RL,POT,ERA+,WAR,LEA,WE,INT,Prone,STU ,MOV ,CON ,STM,PIT,FB,CH,CB,SL,SI,SP,CT,FO,CC,KC,DEM,Sign,SctAcc,ID
Desidério Gondar,SP,18,L,1.0 Stars,2.5 Stars,2.0 Stars,73.194,-0.737,H,H,N,Normal,50,40,30,65,4,70,45,-,65,50,-,-,-,-,-,Slot,Normal,High,14483
Finlay Underwood,RP,22,L,1.0 Stars,2.0 Stars,1.5 Stars,80.724,-0.743,N,N,N,Normal,65,45,20,30,2,80,-,-,-,-,-,-,-,60,-,Slot,Normal,Very High,11593
Laurente Dorso,RP,17,R,1.0 Stars,1.5 Stars,1.5 Stars,81.354,-0.774,N,H,N,Normal,50,45,35,45,3,60,55,-,40,-,-,-,-,-,-,$180k,Extremely Hard,High,14472
Jordan Pond,RP,18,L,0.5 Stars,1.5 Stars,1.5 Stars,76.504,-0.787,N,N,N,Normal,45,40,40,30,3,45,50,-,-,-,55,-,-,-,-,$180k,Extremely Hard,High,14585
Josh Turley,SP,22,R,1.0 Stars,2.0 Stars,1.5 Stars,73.657,-0.834,N,N,H,Normal,45,35,45,45,4,50,45,-,-,50,-,40,-,-,-,Slot,Easy,Very High,11612
Ziyad Kutaiba,SP,22,L,1.0 Stars,2.0 Stars,1.5 Stars,72.607,-0.838,N,N,N,Normal,50,40,30,60,4,55,50,-,-,50,-,55,-,-,-,Slot,Easy,Very High,11597
Ron Povey,RP,18,R,1.0 Stars,1.5 Stars,1.5 Stars,78.751,-0.904,N,H,H,Normal,50,45,30,40,3,45,-,-,-,40,-,50,-,-,-,$170k,Extremely Hard,High,15562
Alroy Murphy,SP,21,R,1.0 Stars,2.0 Stars,1.5 Stars,71.290,-0.931,H,N,N,Fragile,50,35,35,50,4,60,45,-,-,-,-,45,-,25,-,Slot,Hard,Very High,12423
Dong-min Lee,RP,18,R,0.5 Stars,1.0 Stars,2.0 Stars,78.457,-1.002,N,H,H,Normal,80,35,25,35,2,80,-,80,-,-,-,-,-,-,-,Slot,Hard,High,14990
Oscar Attard,RP,18,L,0.5 Stars,0.5 Stars,1.5 Stars,76.337,-1.023,N,N,N,Durable,55,35,40,35,2,80,-,75,-,-,-,-,-,-,-,$180k,Extremely Hard,High,14546
Elliott McEwen,RP,18,L,0.5 Stars,1.0 Stars,1.5 Stars,69.575,-1.028,N,N,N,Normal,40,40,35,25,2,45,-,-,45,-,-,-,-,-,-,$180k,Extremely Hard,High,14554
Giovanni Canalo,SP,20,R,0.5 Stars,2.0 Stars,2.0 Stars,71.412,-1.031,N,N,H,Normal,55,40,25,50,3,80,50,-,80,-,-,-,-,-,-,Slot,Very Easy,Very High,13401
Joseph Field,RP,18,L,0.5 Stars,0.5 Stars,1.5 Stars,69.514,-1.060,H,H,N,Normal,45,40,30,25,2,45,55,-,-,-,-,-,-,-,-,Impos.,Impossible,High,14455
Howard Strauss,SP,17,R,0.5 Stars,1.5 Stars,1.5 Stars,71.036,-1.083,N,H,N,Normal,40,35,45,45,3,45,35,-,-,-,-,40,-,-,-,$180k,Extremely Hard,High,14580
Ryan Watkins,RP,23,L,1.5 Stars,2.0 Stars,1.5 Stars,70.152,-1.173,N,N,N,Normal,40,50,20,30,3,40,-,-,-,40,-,40,-,-,-,Slot,Very Easy,Very High,14425
Pedro Flores,RP,22,R,1.5 Stars,2.0 Stars,1.5 Stars,71.790,-1.199,N,L,L,Normal,55,40,25,30,2,75,-,-,80,-,-,-,-,-,-,Slot,Very Easy,High,11591
Timmo van Vlijmen,SP,20,R,1.0 Stars,2.0 Stars,1.5 Stars,73.491,-1.211,L,L,N,Normal,45,35,45,35,3,50,50,-,50,-,-,-,-,-,-,Slot,Extremely Hard,Very High,12244
Tim Knapp,RP,18,R,0.5 Stars,0.5 Stars,1.5 Stars,71.709,-1.357,H,N,N,Normal,60,35,30,35,2,65,-,-,80,-,-,-,-,-,-,$180k,Extremely Hard,High,14555
Keiran Frew,RP,21,R,1.0 Stars,2.0 Stars,1.5 Stars,67.761,-1.362,U,U,U,Normal,45,45,20,30,3,45,45,-,-,-,-,50,-,-,-,Slot,Normal,Low,15553
Lachlan Leonard,RP,21,R,1.5 Stars,2.0 Stars,1.5 Stars,65.702,-1.376,N,H,H,Normal,50,30,35,25,2,65,-,-,65,-,-,-,-,-,-,Slot,Hard,Average,15001
Louie Bolt,RP,18,R,0.5 Stars,1.0 Stars,1.5 Stars,68.896,-1.472,N,N,N,Normal,50,30,40,35,3,70,-,-,40,-,-,-,50,-,-,$190k,Extremely Hard,High,14508
Danny Rodriguez,SP,21,R,1.0 Stars,2.5 Stars,1.5 Stars,69.013,-1.481,N,N,H,Normal,45,40,30,40,4,45,40,50,-,45,-,-,-,-,-,Slot,Hard,High,12365
Taylor Stubbs,SP,21,R,1.0 Stars,2.5 Stars,1.5 Stars,71.951,-1.503,L,N,N,Normal,50,40,30,35,3,70,-,-,-,50,-,55,-,-,-,Slot,Hard,Very High,12376
Rick Connett,SP,18,R,0.5 Stars,1.5 Stars,1.5 Stars,69.243,-1.523,N,N,N,Durable,50,40,25,45,4,65,55,-,-,45,-,-,-,-,-,$180k,Extremely Hard,High,14596
Alfie Duke,RP,17,R,0.5 Stars,0.5 Stars,1.5 Stars,69.647,-1.546,N,N,N,Normal,65,35,20,35,4,75,-,80,-,60,-,65,-,-,-,$170k,Extremely Hard,High,14480
Dermot Cox,RP,17,L,0.5 Stars,1.5 Stars,1.5 Stars,63.609,-1.556,H,N,N,Normal,60,25,30,25,2,80,45,-,-,-,-,-,-,-,-,$180k,Extremely Hard,High,14571
Nalle de Graaf,RP,22,R,1.0 Stars,1.5 Stars,1.5 Stars,62.406,-1.558,N,N,N,Normal,50,30,30,25,3,45,-,-,50,-,-,50,-,-,-,Slot,Normal,High,14533
Asim Racic,SP,21,R,1.0 Stars,2.5 Stars,1.5 Stars,71.944,-1.600,L,N,H,Normal,65,30,35,35,3,80,-,80,-,70,-,-,-,-,-,Slot,Normal,High,12997
Mark Rawson,RP,21,L,0.5 Stars,0.5 Stars,1.5 Stars,60.993,-1.709,N,N,L,Normal,55,25,30,25,2,80,-,75,-,-,-,-,-,-,-,Slot,Easy,High,12256
Tom Lang,SP,21,R,1.0 Stars,2.0 Stars,1.5 Stars,67.373,-1.847,N,N,H,Normal,50,35,30,40,4,75,45,-,75,-,-,-,40,-,-,Slot,Very Easy,High,12313
Hiroshi Nakatsu,RP,17,R,0.5 Stars,0.5 Stars,1.5 Stars,59.228,-1.881,L,N,N,Normal,60,20,30,25,2,75,-,-,80,-,-,-,-,-,-,$190k,Extremely Hard,Average,15032
Sean Dial,SP,17,R,0.5 Stars,1.0 Stars,1.5 Stars,67.227,-1.918,N,N,N,Normal,55,30,35,40,5,80,55,-,-,45,-,-,-,25,40,$350k,Extremely Hard,High,14515
Will Marban,RP,21,R,1.0 Stars,1.5 Stars,1.5 Stars,59.641,-2.093,N,L,L,Normal,65,25,20,30,5,80,45,70,-,-,45,60,-,-,-,Slot,Normal,Very High,12382
Milton Watt,SP,17,R,0.5 Stars,1.5 Stars,1.5 Stars,61.037,-2.185,N,N,L,Normal,30,45,25,60,4,45,35,35,-,40,-,-,-,-,-,$190k,Extremely Hard,High,14563
Asim Babic,SP,20,R,0.5 Stars,1.5 Stars,1.5 Stars,,,N,N,L,Normal,50,45,30,40,3,80,50,-,-,55,-,-,-,-,-,Slot,Hard,High,12453
