Name,Age,Pos,B,OVR,RL,POT,WAR,LEA,WE,INT,Prone,AVG,HR,OPS+,SB,CON,POW,EYE,1B,2B,3B,SS,LF,CF,RF,SPE,STE,RUN,DEF,DEM,Sign,ID
Nadim Ghassan,18,1B,L,1.0 Stars,2.0 Stars,2.0 Stars,-0.796,N,N,N,Normal,0.253,15,87.374,0,55,45,40,40,-,-,-,-,-,-,30,25,20,40,$180k,Extremely Hard,14502
Gabriel Elliott,18,CF,R,1.0 Stars,2.0 Stars,2.0 Stars,-1.020,N,N,N,Durable,0.218,18,79.095,2,45,50,45,35,-,-,-,55,30,45,55,40,35,30,$180k,Extremely Hard,14601
Hide Kato,18,LF,S,1.5 Stars,2.5 Stars,2.0 Stars,-1.160,L,H,N,Normal,0.216,11,70.221,0,45,40,50,35,-,-,-,45,-,40,30,25,45,45,Impos.,Impossible,14519
Vivien Jacquot,22,2B,R,1.5 Stars,2.5 Stars,2.0 Stars,-1.191,N,L,N,Normal,0.229,8,70.845,0,50,35,45,55,35,20,20,35,-,25,50,30,40,35,Slot,Very Easy,15568
Floyd Adronyk,17,3B,R,1.0 Stars,2.0 Stars,2.0 Stars,-1.198,N,N,N,Normal,0.209,18,75.437,0,45,50,45,50,-,30,-,-,-,-,40,20,35,30,Slot,Hard,14461
Adrian Nava,21,SS,L,1.0 Stars,2.0 Stars,2.0 Stars,-1.240,N,H,H,Fragile,0.226,4,59.141,1,50,30,40,65,45,55,40,-,-,-,55,35,25,40,Slot,Extremely Hard,12257
Tony Hernandez,20,CF,L,1.0 Stars,2.0 Stars,2.0 Stars,-1.253,N,N,N,Durable,0.239,16,75.460,6,50,45,30,60,-,-,-,50,30,40,60,60,65,30,Slot,Hard,13366
Robert Vellinga,17,3B,R,1.0 Stars,2.0 Stars,2.0 Stars,-1.276,N,N,N,Normal,0.268,4,87.417,1,65,30,45,65,30,20,-,35,-,30,50,35,40,20,$180k,Extremely Hard,14478
Brian Calvano,20,2B,S,1.0 Stars,2.0 Stars,2.0 Stars,-1.284,N,N,N,Normal,0.231,8,63.529,2,50,35,35,60,40,-,20,50,35,35,45,45,40,40,Slot,Extremely Hard,13089
Jim Burkholder,17,CF,R,1.0 Stars,2.0 Stars,2.0 Stars,-1.578,N,N,N,Normal,0.250,15,83.403,1,55,45,35,40,-,-,-,55,20,55,45,35,25,20,$190k,Extremely Hard,14440
Carlos Chaidez,21,LF,R,1.5 Stars,2.5 Stars,2.0 Stars,-1.737,L,N,N,Normal,0.220,15,72.663,7,45,45,40,35,-,-,-,35,-,20,40,75,70,35,Slot,Extremely Hard,12404
Jason Sloan,20,RF,R,1.5 Stars,2.5 Stars,2.0 Stars,-2.444,N,L,N,Normal,0.218,4,57.880,0,50,30,45,50,-,-,-,45,-,40,30,35,30,40,Slot,Normal,15020
John Stonecipher,17,LF,R,1.0 Stars,2.0 Stars,2.0 Stars,-2.475,L,N,N,Normal,0.218,19,75.024,0,45,50,40,30,-,-,-,25,-,20,50,20,20,25,$190k,Extremely Hard,14569
Raymond Krajancic,18,RF,R,1.0 Stars,2.0 Stars,2.0 Stars,-2.829,N,N,H,Normal,0.238,4,74.798,0,55,30,50,30,-,-,-,30,-,20,40,30,20,20,$190k,Extremely Hard,14463
Jesús Casaca,21,RF,L,1.0 Stars,2.5 Stars,1.5 Stars,-3.780,N,H,L,Normal,0.197,1,33.876,0,45,25,35,30,-,-,-,45,-,45,40,30,20,45,Slot,Hard,12383
Zenichiro Ishii,22,CF,L,1.0 Stars,2.5 Stars,1.5 Stars,-4.263,H,N,N,Normal,0.207,1,39.355,1,45,25,35,55,-,-,-,50,25,45,45,40,45,25,Slot,Easy,12308
Eric Hettich,18,,R,1.0 Stars,2.0 Stars,2.5 Stars,,H,N,N,Normal,,,,,60,40,80,40,-,20,-,45,-,45,45,45,60,20,$900k,Extremely Hard,14471
