Name,Pos,T,Age,ERA+,WAR,OVR,OVR_RL,POT,LEA,WE,INT,Prone,STU P,MOV P,CON P,STM,PIT,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,DEM,Sign,ID
Alex Trejo,RP,R,18,75.7,-0.69,0.5 ,1.0 ,2.0 ,N,N,N,Normal,55,45,30,30,2,65,-,-,70,-,-,-,-,-,-,-,-,$190k,Extremely Hard,15706
Chris Gibson,RP,R,21,73.6,-0.80,1.5 ,2.5 ,2.0 ,N,N,N,Normal,50,45,30,30,2,75,-,-,55,-,-,-,-,-,-,-,-,Slot,Hard,16244
Jovan Andric,RP,L,18,73.0,-0.86,1.0 ,1.5 ,1.5 ,N,H,N,Normal,45,40,45,35,3,45,45,-,-,-,-,50,-,-,-,-,-,$180k,Extremely Hard,15746
Hani Nazim,RP,R,21,72.8,-0.86,1.0 ,1.5 ,1.5 ,H,N,N,Normal,55,45,25,30,3,55,40,-,-,-,-,60,-,-,-,-,-,Slot,Hard,13862
Jerry Harkness,RP,R,22,69.8,-0.90,1.0 ,1.5 ,1.5 ,N,N,N,Normal,45,50,20,25,2,-,50,-,-,-,-,65,-,-,-,-,-,Slot,Extremely Hard,13372
In Hu,RP,R,21,69.2,-0.93,1.5 ,2.0 ,2.0 ,N,N,L,Normal,60,30,45,25,2,80,-,65,-,-,-,-,-,-,-,-,-,Slot,Hard,13360
Jonas Feitor,RP,R,22,68.0,-0.94,1.5 ,2.0 ,1.5 ,N,L,L,Normal,35,45,40,30,3,35,-,35,-,-,-,35,-,-,-,-,-,Slot,Very Easy,15585
Chris Hewett,RP,R,21,69.6,-0.97,1.5 ,2.5 ,1.5 ,N,L,L,Normal,45,45,30,30,2,80,45,-,-,-,-,-,-,-,-,-,-,Slot,Hard,13352
Hector Orozco,SP,R,17,71.7,-1.03,0.5 ,2.0 ,1.5 ,N,N,N,Normal,50,35,45,35,4,55,-,-,-,35,55,60,-,-,-,-,-,$180k,Extremely Hard,16405
Ramon Medina,RP,R,22,70.8,-1.05,1.0 ,1.5 ,1.5 ,N,N,N,Normal,60,40,30,30,2,80,65,-,-,-,-,-,-,-,-,-,-,Slot,Easy,13834
Lyndon Gosden,SP,L,22,69.5,-1.06,1.5 ,3.0 ,1.5 ,N,N,N,Normal,45,40,40,40,4,50,-,-,30,30,-,50,-,-,-,-,-,Slot,Easy,15785
Tae-shik Ko,RP,R,23,68.7,-1.08,1.5 ,2.0 ,1.5 ,N,H,N,Normal,40,45,35,35,3,40,40,-,-,-,-,-,-,-,-,40,-,Slot,Easy,13247
Jose Rosiles,RP,R,22,69.3,-1.11,1.5 ,2.5 ,2.0 ,N,N,H,Normal,60,40,25,30,2,-,-,80,-,-,-,80,-,-,-,-,-,Slot,Very Easy,13073
Henry Fox,SP,R,18,68.2,-1.16,0.5 ,1.5 ,1.5 ,N,N,N,Normal,40,35,50,40,4,40,40,45,-,-,50,-,-,-,-,-,-,$180k,Extremely Hard,15668
Harry Drost,RP,R,22,66.6,-1.20,1.0 ,1.5 ,1.5 ,N,H,N,Normal,55,45,20,25,2,75,-,65,-,-,-,-,-,-,-,-,-,Slot,Hard,13392
Nobuya Fujimura,RP,R,18,64.7,-1.24,0.5 ,1.0 ,1.5 ,L,N,N,Normal,40,35,45,30,4,40,35,-,-,35,-,35,-,-,-,-,-,$190k,Extremely Hard,15518
Aleksandar Mijatovic,SP,R,18,64.3,-1.25,0.5 ,1.0 ,1.5 ,N,N,N,Normal,40,45,25,70,3,45,40,-,-,-,35,-,-,-,-,-,-,$180k,Extremely Hard,15728
Cody Garver,RP,R,22,62.8,-1.32,1.5 ,2.0 ,1.5 ,N,H,N,Normal,45,35,35,25,2,55,-,55,-,-,-,-,-,-,-,-,-,Slot,Easy,13357
Simon Matthews,SP,R,20,67.4,-1.45,1.0 ,2.0 ,1.5 ,N,N,N,Normal,45,35,45,35,5,55,40,45,40,-,30,-,-,-,-,-,-,Slot,Normal,13854
Cody Cyr,RP,R,22,61.3,-1.49,1.5 ,2.0 ,1.5 ,H,N,N,Normal,40,35,40,30,3,40,25,-,-,35,-,-,-,-,-,-,-,Slot,Extremely Hard,13305
Paulino Pascoal,RP,L,22,62.7,-1.56,1.5 ,2.0 ,1.5 ,N,N,N,Normal,45,45,20,30,2,50,-,50,-,-,-,-,-,-,-,-,-,Slot,Easy,16213
Juan Rodriguez,SP,R,22,63.7,-1.56,1.5 ,3.0 ,1.5 ,H,N,N,Durable,50,30,40,60,4,75,45,45,-,-,50,-,-,-,-,-,-,Slot,Hard,13304
Baldassario Magherini,SP,L,22,62.1,-1.56,0.5 ,2.0 ,1.5 ,H,N,N,Durable,40,35,40,50,5,45,35,-,-,40,-,40,40,-,-,-,-,Slot,Easy,13332
Jesus Torres,SP,R,22,64.2,-1.58,1.0 ,2.5 ,1.5 ,H,H,N,Normal,55,35,30,45,5,80,55,80,-,45,50,-,-,-,-,-,-,Slot,Extremely Hard,13344
Junjiro Kawano,RP,R,20,56.0,-1.65,1.0 ,1.5 ,1.5 ,L,L,N,Normal,35,40,25,25,4,50,30,35,-,40,-,-,-,-,-,-,-,Slot,Normal,13894
Yunus Aza,SP,R,21,63.2,-1.78,0.5 ,2.0 ,1.5 ,L,H,N,Normal,50,35,30,45,3,60,50,-,80,-,-,-,-,-,-,-,-,Slot,Normal,13868
Shaun John,SP,R,21,65.6,-1.79,1.5 ,3.0 ,1.5 ,N,N,L,Normal,55,30,40,35,4,80,45,-,80,-,-,45,-,-,-,-,-,Slot,Normal,13877
Edwin Deniz,SP,L,21,60.0,-1.86,1.0 ,2.5 ,1.5 ,L,N,N,Normal,35,40,35,60,4,45,30,-,45,40,-,-,-,-,-,-,-,Slot,Normal,13363
Bob Montiel,SP,R,22,59.9,-1.90,1.0 ,2.5 ,1.5 ,H,N,N,Normal,40,35,35,50,3,45,40,-,-,-,45,-,-,-,-,-,-,Slot,Very Easy,15605
Travis Howard,SP,L,20,63.2,-1.91,0.5 ,2.0 ,1.5 ,N,H,N,Normal,45,45,20,40,4,55,-,-,45,40,-,45,-,-,-,-,-,Slot,Normal,13887
Miguel Reyes,SP,R,23,62.6,-1.93,1.5 ,3.5 ,1.5 ,N,N,N,Normal,45,40,25,40,3,45,-,-,-,45,-,45,-,-,-,-,-,Slot,Very Easy,16520
Etelson Nakamura,RP,L,22,56.2,-1.93,1.5 ,2.0 ,1.5 ,L,N,L,Normal,35,40,25,30,2,35,-,-,40,-,-,-,-,-,-,-,-,Slot,Hard,16398
Bill Means,SP,L,18,58.2,-2.01,0.5 ,1.5 ,1.5 ,N,L,N,Normal,30,40,40,50,5,30,35,25,35,-,-,-,40,-,-,-,-,$180k,Extremely Hard,15832
Bill Pearson,RP,L,21,60.3,-2.23,1.5 ,2.0 ,1.5 ,N,N,N,Normal,50,40,20,40,2,65,50,-,-,-,-,-,-,-,-,-,-,Slot,Extremely Hard,16219
Maimun Ridwan,SP,L,22,60.1,-2.29,1.0 ,2.5 ,1.5 ,N,N,N,Normal,40,35,35,40,4,40,-,45,-,45,-,45,-,-,-,-,-,Slot,Hard,15803
Vicente Cantu,RP,R,22,53.6,-2.39,1.0 ,1.5 ,1.5 ,H,H,N,Durable,50,25,25,30,4,65,40,50,65,-,-,-,-,-,-,-,-,Slot,Normal,13340
David Teslo,SP,R,21,59.4,-2.41,0.5 ,1.5 ,1.5 ,N,N,N,Normal,40,25,50,40,4,45,30,-,-,-,40,40,-,-,-,-,-,Slot,Extremely Hard,13956
Steven Ivanov,SP,R,22,58.3,-2.83,1.0 ,2.0 ,1.5 ,L,N,N,Normal,45,35,25,35,3,75,50,-,45,-,-,-,-,-,-,-,-,Slot,Hard,12889
Kuranosuke Watanabe,SP,R,21,56.8,-3.09,0.5 ,1.5 ,1.5 ,L,N,N,Normal,50,20,40,35,3,70,45,-,70,-,-,-,-,-,-,-,-,Slot,Hard,13976
Dae-je Choi,SP,L,22,50.8,-4.02,0.5 ,1.5 ,1.5 ,L,N,N,Normal,40,25,30,35,3,45,35,-,-,40,-,-,-,-,-,-,-,Slot,Easy,13400
Kasper van de Ven,SP,R,17,48.4,-4.06,0.5 ,0.5 ,1.5 ,L,L,N,Normal,30,30,30,70,4,30,35,35,35,-,-,-,-,-,-,-,-,$190k,Extremely Hard,16525
