Name,POS,Age,T,OVR,RL,POT,LEA,WE,INT,Prone,PIT,STU P,MOV P,HRR P,PBABIP P,CON P,STM,VELO,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,DEM,Sign,ID
Clemente Gaufi,RP,23,R,0.5 Stars,1.5 Stars,1.5 Stars,N,N,N,Normal,5,40,45,45,45,45,40,90-92,45,50,-,45,35,-,45,-,-,-,-,-,Slot,Hard,13252
Jesus Geers,RP,21,L,0.5 Stars,1.5 Stars,1.5 Stars,H,N,H,Normal,2,35,50,55,45,40,40,88-90,45,-,-,40,-,-,-,-,-,-,-,-,Slot,Hard,14399
Sam Gladding,RP,22,R,1.0 Stars,2.0 Stars,1.5 Stars,N,L,N,Normal,2,45,45,50,45,40,25,88-90,45,-,60,-,-,-,-,-,-,-,-,-,Slot,Very Easy,12940
Aaron Herrick,RP,22,L,1.5 Stars,2.5 Stars,1.5 Stars,N,N,N,Normal,4,65,40,35,45,40,35,92-94,60,-,65,-,-,-,65,-,-,-,50,-,Slot,Very Easy,12978
Jose Higuera,RP,22,R,1.5 Stars,2.5 Stars,1.5 Stars,N,N,N,Normal,3,55,50,50,50,35,30,93-95,60,-,-,-,50,55,-,-,-,-,-,-,Slot,Hard,13221
Tim Howell,RP,23,R,0.5 Stars,2.0 Stars,1.5 Stars,N,N,N,Normal,2,50,50,50,45,30,35,90-92,50,-,60,-,-,-,-,-,-,-,-,-,Slot,Very Easy,12990
Steven Ivanov,RP,18,R,1.0 Stars,2.0 Stars,1.5 Stars,L,N,N,Normal,3,50,40,40,40,40,35,91-93,55,50,-,50,-,-,-,-,-,-,-,-,Slot,Hard,12889
Dong-soo Jung,RP,22,L,1.0 Stars,2.0 Stars,1.5 Stars,N,H,N,Normal,2,60,50,45,50,30,35,94-96,70,60,-,-,-,-,-,-,-,-,-,-,Slot,Easy,13009
Robert Lauwers,RP,21,L,1.5 Stars,3.0 Stars,1.5 Stars,N,N,N,Normal,2,60,45,45,45,35,30,92-94,60,-,65,-,-,-,-,-,-,-,-,-,Slot,Very Easy,12986
Ramon Medina,RP,18,R,1.0 Stars,2.0 Stars,1.5 Stars,N,N,N,Normal,2,50,45,50,40,35,25,91-93,55,55,-,-,-,-,-,-,-,-,-,-,$180 000,Extremely Hard,13834
Dan Meyer,RP,17,R,0.5 Stars,1.5 Stars,1.5 Stars,N,H,L,Durable,3,50,40,35,45,60,35,92-94,55,-,-,-,-,45,55,-,-,-,-,-,$190 000,Extremely Hard,13814
Manny Montiel,RP,21,R,1.5 Stars,2.5 Stars,1.5 Stars,N,N,H,Normal,2,45,45,50,40,45,25,89-91,45,-,-,45,-,-,-,-,-,-,-,-,Slot,Very Easy,13007
Geaney Munnelly,RP,22,R,1.5 Stars,2.5 Stars,1.5 Stars,L,N,N,Normal,3,60,40,35,45,35,30,92-94,60,-,-,65,60,-,-,-,-,-,-,-,Slot,Hard,13260
Dustin Munoz,RP,21,R,1.5 Stars,2.5 Stars,1.5 Stars,N,N,N,Normal,3,60,45,40,50,35,40,94-96,65,45,-,-,60,-,-,-,-,-,-,-,Slot,Normal,10981
Hayden O'Connor,RP,19,R,0.5 Stars,1.5 Stars,1.5 Stars,N,N,N,Normal,2,60,45,45,45,35,25,94-96,65,-,70,-,-,-,-,-,-,-,-,-,Slot,Hard,11580
Soo-yeon Park,RP,22,L,1.0 Stars,2.0 Stars,1.5 Stars,N,H,N,Normal,2,65,35,30,45,30,30,90-92,55,-,65,-,-,-,-,-,-,-,-,-,Slot,Easy,13243
Jose Rosiles,RP,18,R,0.5 Stars,1.5 Stars,1.5 Stars,N,N,H,Normal,2,55,40,35,45,30,30,94-96,-,-,65,-,-,-,65,-,-,-,-,-,$180 000,Extremely Hard,13073
Chris Sargent,RP,19,R,0.5 Stars,1.5 Stars,1.5 Stars,L,N,N,Normal,2,35,45,45,45,30,30,89-91,40,-,45,-,-,-,-,-,-,-,-,-,Slot,Hard,12393
Moritz Schouten,RP,19,L,1.0 Stars,2.0 Stars,1.5 Stars,N,N,H,Normal,2,60,45,45,40,35,30,93-95,65,-,60,-,-,-,-,-,-,-,-,-,$190 000,Extremely Hard,13242
Taylor Stubbs,RP,19,R,0.5 Stars,1.5 Stars,1.5 Stars,L,N,N,Normal,3,45,45,50,45,35,35,95-97,50,-,-,-,45,-,50,-,-,-,-,-,Slot,Normal,12376
Jeremy Vasseur,RP,18,R,0.5 Stars,1.5 Stars,1.5 Stars,N,N,N,Durable,2,50,40,45,40,50,25,91-93,55,55,-,-,-,-,-,-,-,-,-,-,$180 000,Extremely Hard,13080
Fionn Quinn,CL,21,R,1.5 Stars,2.5 Stars,1.5 Stars,N,N,N,Normal,2,50,40,40,40,40,30,94-96,65,50,-,-,-,-,-,-,-,-,-,-,Slot,Normal,11696
Milan Zujovic,CL,24,R,1.5 Stars,3.0 Stars,1.5 Stars,L,L,N,Normal,4,55,45,45,45,40,25,95-97,60,50,55,-,-,-,60,-,-,-,-,-,Slot,Easy,13196
Adham bin Salman,SP,23,R,0.5 Stars,1.5 Stars,1.0 Stars,N,N,N,Normal,3,40,50,50,45,30,45,91-93,45,-,-,-,45,-,45,-,-,-,-,-,Slot,Easy,13211
Corbin Fayard,SP,19,R,0.5 Stars,1.5 Stars,1.0 Stars,N,N,N,Durable,4,45,40,35,40,45,60,90-92,50,50,45,-,-,50,-,-,-,-,-,-,$180 000,Extremely Hard,13264
Esteban Garcia,SP,17,R,0.5 Stars,1.5 Stars,1.0 Stars,N,N,N,Normal,4,40,45,45,40,45,45,89-91,45,45,-,45,-,45,-,-,-,-,-,-,$190 000,Extremely Hard,13833
Fumitaka Kawada,SP,22,R,0.5 Stars,1.5 Stars,1.0 Stars,N,N,N,Normal,5,40,45,45,45,40,55,88-90,40,45,-,45,45,-,45,-,-,-,-,-,Slot,Normal,13275
Max Nelson,SP,21,L,0.5 Stars,1.5 Stars,1.0 Stars,N,N,L,Durable,3,35,45,45,45,45,55,87-89,40,-,-,-,45,-,45,-,-,-,-,-,Slot,Hard,13801
Scott Reinhart,SP,18,R,0.5 Stars,1.5 Stars,1.0 Stars,N,N,N,Normal,3,40,45,45,40,45,50,90-92,45,45,-,-,-,40,-,-,-,-,-,-,Slot,Hard,13277
Keith Smith,SP,21,R,0.5 Stars,2.0 Stars,1.0 Stars,L,L,N,Normal,3,45,40,40,45,45,65,90-92,50,60,55,-,-,-,-,-,-,-,-,-,Slot,Hard,13928
Borisav Srskic,SP,21,R,0.5 Stars,1.5 Stars,1.0 Stars,N,L,N,Normal,4,50,45,40,50,40,50,92-94,50,55,-,60,-,-,45,-,-,-,-,-,Slot,Normal,13837
Tommy Thomas,SP,22,L,0.5 Stars,1.5 Stars,1.0 Stars,N,N,L,Normal,3,45,40,35,45,40,60,96-98,55,50,55,-,-,-,-,-,-,-,-,-,Slot,Very Easy,10592
T.J. Bisesi Jr.,SP,18,L,0.5 Stars,1.5 Stars,0.5 Stars,N,N,H,Normal,4,55,40,35,45,30,55,91-93,55,60,-,50,45,-,-,-,-,-,-,-,$190 000,Extremely Hard,13084
Willie Castillo,SP,21,R,0.5 Stars,1.5 Stars,0.5 Stars,N,N,N,Durable,4,50,40,35,45,30,50,90-92,45,50,-,55,-,60,-,-,-,-,-,-,Slot,Easy,10980
Young-jin Jin,SP,23,R,0.5 Stars,1.5 Stars,0.5 Stars,N,N,L,Normal,5,35,45,45,40,45,60,89-91,45,40,40,40,35,-,-,-,-,-,-,-,Slot,Easy,13175
Randy Legge,SP,22,R,0.5 Stars,2.0 Stars,0.5 Stars,N,N,N,Normal,4,45,40,35,45,40,55,90-92,50,50,-,45,45,-,-,-,-,-,-,-,Slot,Normal,13290
Randy Mccabe,SP,23,R,0.5 Stars,2.0 Stars,0.5 Stars,N,H,N,Normal,4,45,40,35,45,25,55,91-93,45,45,50,-,-,-,-,55,-,-,-,-,Slot,Very Easy,13170
Riley Mitchell,SP,18,R,0.5 Stars,1.5 Stars,0.5 Stars,N,N,N,Normal,3,45,40,35,45,40,40,92-94,55,55,-,50,-,-,-,-,-,-,-,-,Slot,Normal,13023
Mayumi Shimomura,SP,20,L,0.5 Stars,1.5 Stars,0.5 Stars,N,H,N,Normal,3,50,40,35,50,35,75,95-97,60,-,65,-,-,-,-,-,-,-,65,-,Slot,Normal,10984
