ID,Age,DOB,Name,OVR,POT,Prone,STU P,CON P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,VELO,STM,RET,Draft,OA Pick
9231,30,11/20/1990,Sean Gofman,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2009,26
9000,35,08/24/1985,Dustin Hagar,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2007,24
6000,42,03/06/1979,Sam Huskey,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2000,24
646,55,12/13/1965,Mike Kaminsky,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,24
8287,37,03/27/1984,William McMullen,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2006,25
11395,30,03/04/1991,Steve Melvin,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2012,31
11549,29,05/15/1992,CHRIS SACHS,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2014,31
9353,34,12/15/1986,Randy Shapiro,2.0 Stars,2.0 Stars,Wrecked,60,35,55,65,-,65,-,-,-,-,-,-,-,-,-,92-94,30,No,2007,25
7894,37,08/05/1983,Ken Smith,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2005,27
6805,36,07/14/1984,Nehemiah Tanner,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2003,25
10759,31,08/16/1989,Corey Gingrich,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2011,31
9746,29,02/10/1992,BEN HOWARD,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2010,29
6729,40,12/23/1980,Ian Laniewski,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2002,26
5277,44,01/30/1977,Patrick Mahomes,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,26
7372,34,09/21/1986,BILL SINGER,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2004,28
7044,36,04/16/1985,Mark Stone,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2003,26
8743,31,04/07/1990,JOE THOMPSON,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2008,28
13780,27,02/25/1994,KEVIN CANNON,2.5 Stars,2.5 Stars,Fragile,55,45,55,65,35,-,-,50,-,65,-,-,-,-,-,95-97,35,No,2016,34
10633,26,02/03/1995,ALVIN DONNELLY,4.0 Stars,4.5 Stars,Durable,80,70,55,80,80,-,-,-,80,-,-,-,-,-,-,94-96,40,No,2013,33
6060,38,06/03/1982,LARRY GONZALEZ,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2004,29
6757,37,06/26/1983,Bobby Meinershagen,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2002,27
9521,30,05/06/1991,TONY STOKES,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2010,30
11697,25,11/08/1995,HIDESHI TANAKA,2.5 Stars,2.5 Stars,Fragile,50,50,45,45,45,80,-,-,50,-,-,-,40,-,-,94-96,60,No,2014,33
10064,32,09/23/1988,MIKE ANDREWS,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2010,31
9444,30,11/13/1990,Ed Anduray,2.5 Stars,2.5 Stars,Iron Man,60,75,40,60,45,-,80,45,-,-,-,-,-,-,-,94-96,60,No,2009,30
7298,36,03/06/1985,Dave Bibbins,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2003,28
10425,27,09/20/1993,Matt Darling,2.5 Stars,2.5 Stars,Fragile,50,45,50,-,45,50,50,50,-,50,-,-,-,-,-,94-96,65,No,2012,34
8190,34,03/03/1987,Jeff Dittmar,2.0 Stars,2.0 Stars,Fragile,45,50,40,50,-,-,55,-,50,-,-,-,-,-,-,93-95,45,No,2005,30
8998,35,11/22/1985,Brad Kopetsky,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2007,28
8004,33,01/11/1988,Brian Meeks,2.5 Stars,2.5 Stars,Wrecked,50,50,45,60,50,-,60,-,-,-,-,-,-,-,-,93-95,60,No,2006,29
10940,26,09/09/1994,DUSTIN MULLICAN,2.5 Stars,2.5 Stars,Normal,50,55,45,55,-,70,-,-,-,50,-,-,-,-,-,95-97,45,No,2013,34
10021,29,07/21/1991,JACK BUSHELL,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2010,32
3183,47,08/07/1973,Jose Canas,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,29
5771,39,03/20/1982,Matt Drake,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2000,29
8298,37,01/25/1984,DAVID GUERRERO,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2006,30
9241,29,07/19/1991,Travis Horn,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2009,31
7381,35,12/09/1985,TIM MAXWELL,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2004,31
9101,34,03/22/1987,Justin Burrows,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2008,32
8369,32,01/04/1989,BOBBY FRAMPTON,2.5 Stars,2.5 Stars,Normal,45,35,65,50,-,-,-,45,45,50,-,-,-,-,-,94-96,70,No,2007,30
9542,29,07/18/1991,NICK HATCH,2.5 Stars,2.5 Stars,Iron Man,50,50,50,50,50,50,50,50,50,-,-,-,-,-,-,94-96,75,No,2010,33
6314,42,09/02/1978,Josh Motsinger,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2000,30
5849,40,12/07/1980,Enrique Portillo,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,30
11649,24,03/15/1997,Pat Burkhard,2.0 Stars,2.0 Stars,Fragile,50,40,40,70,50,-,65,50,-,-,-,-,50,-,-,96-98,60,No,2015,36
5052,41,11/01/1979,Jim Fisher,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2001,32
8205,34,11/05/1986,JOHN RANSON,4.0 Stars,4.0 Stars,Iron Man,55,55,65,50,-,-,50,-,-,-,-,-,-,-,-,90-92,45,No,2008,33
2906,51,10/19/1969,Carlos Rodriguez,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,31
9578,29,04/03/1992,JUAN VILLEGAS,2.5 Stars,2.5 Stars,Normal,50,55,50,70,-,-,55,50,-,-,-,-,-,-,-,95-97,50,No,2010,34
11031,25,08/08/1995,ALEX ZARAGOZA,2.0 Stars,2.5 Stars,Normal,75,50,45,80,60,-,55,-,-,80,-,-,-,-,-,96-98,45,No,2014,37
8443,34,03/04/1987,CALEB FOXWORTHY,2.0 Stars,2.0 Stars,Normal,60,35,50,60,-,-,55,55,25,-,-,-,-,-,-,93-95,40,No,2006,33
7561,39,08/14/1981,Tom Harris,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2003,32
6615,48,05/17/1973,Sung-jin Kim,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,32
9137,35,04/14/1986,JORDAN SANDOVAL,2.5 Stars,2.5 Stars,Fragile,45,50,70,45,-,45,-,45,-,-,-,-,-,-,-,92-94,35,No,2008,34
12306,27,06/06/1993,PHILLIP BANSFIELD,2.0 Stars,2.0 Stars,Durable,50,45,45,55,40,50,-,50,-,50,-,-,-,-,-,92-94,55,No,2015,38
11706,25,02/26/1996,LENNY CHARLES,2.5 Stars,2.5 Stars,Normal,70,50,45,80,55,-,80,-,70,-,-,-,65,-,-,96-98,55,No,2014,39
11334,31,10/15/1989,Miklas Rutten,2.0 Stars,2.0 Stars,Normal,45,50,45,65,-,-,35,-,-,-,-,-,-,-,-,95-97,25,No,2012,39
10898,26,10/30/1994,EDDIE SCHNAIBLE,3.0 Stars,3.0 Stars,Normal,50,60,50,75,50,-,-,50,-,55,-,-,-,-,-,97-99,55,No,2013,39
9462,30,06/04/1990,Jon Valenzuela,2.0 Stars,2.0 Stars,Fragile,40,30,60,50,40,-,-,-,25,-,-,-,-,-,-,93-95,55,No,2009,35
10817,29,05/07/1992,Joe Cosimano,2.0 Stars,2.0 Stars,Normal,50,50,50,50,50,-,-,50,-,-,-,-,-,-,-,92-94,25,No,2011,39
12300,27,11/03/1993,WILTON HUNTINGFORD,2.0 Stars,2.0 Stars,Normal,50,40,55,50,50,75,-,55,-,-,-,-,40,-,-,95-97,50,No,2015,39
9222,30,11/27/1990,ROBERTO RAMIREZ,2.5 Stars,2.5 Stars,Normal,45,45,50,50,-,50,-,40,65,-,30,-,-,-,-,91-93,45,No,2009,36
11727,28,06/27/1992,ROGER RILEY,2.5 Stars,2.5 Stars,Normal,50,60,45,50,35,-,60,45,-,-,-,-,-,-,-,92-94,55,No,2014,40
6684,38,07/25/1982,Ricky Shober,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2001,35
10391,27,03/21/1994,Eddie Uriostegui,2.5 Stars,2.5 Stars,Normal,45,50,50,65,35,-,55,-,-,-,-,40,-,-,-,94-96,55,No,2012,40
12931,28,02/13/1993,Imbart van Vliet,2.5 Stars,2.5 Stars,Normal,45,50,55,-,60,45,35,-,-,50,-,-,30,-,-,91-93,60,No,2015,40
8727,31,09/14/1989,SINCERE WILLIAMS,3.0 Stars,3.0 Stars,Iron Man,50,50,50,65,50,-,-,65,-,-,-,-,-,-,-,94-96,55,No,2008,37
11373,29,11/27/1991,Tony Delgado,2.0 Stars,2.0 Stars,Normal,55,55,45,80,-,-,55,-,-,-,-,-,-,-,-,97-99,20,No,2012,42
12407,23,01/01/1998,ELARD KOOLE,2.0 Stars,2.5 Stars,Normal,45,45,70,55,45,-,-,-,-,55,-,-,-,-,-,95-97,55,No,2016,44
9115,35,05/18/1986,KADEN ASHRAF,2.5 Stars,2.5 Stars,Normal,50,75,50,55,-,-,50,-,-,-,-,-,-,-,-,92-94,35,No,2008,38
12270,28,02/01/1993,BEN AXON,2.0 Stars,2.0 Stars,Fragile,55,45,45,70,50,40,60,55,50,-,-,-,-,-,-,95-97,45,No,2013,43
9577,30,02/04/1991,NICK GULLEY,2.0 Stars,2.0 Stars,Fragile,50,40,45,55,25,-,65,30,-,-,-,-,-,-,-,94-96,30,No,2010,39
10430,27,09/28/1993,Juan Lasanta,2.5 Stars,2.5 Stars,Durable,55,50,45,65,65,-,75,-,-,-,-,-,-,-,-,94-96,55,No,2012,43
6813,36,02/22/1985,Rick Carver,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2003,35
10090,28,11/15/1992,Shawn Davis,2.5 Stars,2.5 Stars,Normal,60,45,50,80,-,70,65,50,-,60,-,-,-,-,-,97-99,20,No,2011,41
6687,38,02/07/1983,Trevor Grimes,2.5 Stars,2.5 Stars,Iron Man,45,65,50,-,45,50,-,-,50,45,-,-,-,-,-,91-93,45,No,2001,37
7643,34,07/22/1986,Dave Ates,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2005,38
5720,39,09/01/1981,Joey Della Posta,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2003,36
9355,36,01/29/1985,Brad Denham,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2007,37
4666,42,11/11/1978,Mat Druien,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2000,35
12253,24,04/28/1997,LOUIS HODGSON,3.0 Stars,3.0 Stars,Normal,70,55,50,80,-,-,-,-,75,-,-,-,-,-,-,96-98,25,No,2016,48
370,58,07/27/1962,Ryan Pieroni,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,35
7354,35,09/29/1985,ANGEL SANCHEZ,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2004,37
9381,31,12/09/1989,JOHN WALKER,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2008,40
13201,27,07/13/1993,HAMZAH BIN BASIL,2.5 Stars,2.5 Stars,Fragile,45,60,50,-,55,-,50,50,-,-,-,-,-,-,-,93-95,65,No,2016,49
7288,37,04/09/1984,EVAN LOMAN,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2002,36
7618,34,07/14/1986,JASON PYSHER,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2004,38
10114,28,12/02/1992,Ryan Beebe,2.0 Stars,2.0 Stars,Durable,50,50,45,75,-,50,-,-,35,-,-,-,-,-,-,94-96,50,No,2011,44
10868,28,04/17/1993,Andy Hammons,2.5 Stars,2.5 Stars,Fragile,40,50,55,50,40,35,-,40,-,-,-,-,-,-,-,93-95,50,No,2012,47
7867,35,05/20/1986,KEN HASKINS,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2004,39
1668,51,10/20/1969,Dusty Hess,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,37
6029,39,04/13/1982,Brent Klaassen,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2000,37
6024,39,07/02/1981,Vinny Sandoval,0.5 Stars,0.0 Stars,Normal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2003,38
9099,35,05/22/1986,Jacob Craft,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2008,43
8181,40,12/20/1980,EVAN DE HOYOS,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2004,40
10098,28,12/20/1992,Sean McBride,2.0 Stars,2.0 Stars,Normal,50,40,50,50,-,-,55,45,-,55,-,-,-,-,-,92-94,35,No,2011,45
9790,29,08/13/1991,CARLOS MOLINA,2.0 Stars,2.0 Stars,Iron Man,45,40,55,55,-,-,50,45,-,-,-,-,-,-,-,93-95,65,No,2010,44
8245,34,03/12/1987,TOM STUTTS,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2006,39
6236,38,06/21/1982,DeMario Zambrano,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,38
6479,37,06/23/1983,JAYDEN GAINES,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2002,39
11408,30,06/22/1990,Trevor Hiscock,2.0 Stars,2.0 Stars,Fragile,45,40,50,-,60,-,-,-,-,50,-,-,-,-,-,92-94,30,No,2012,49
12887,22,06/12/1998,Chan-woo Lee,2.0 Stars,3.5 Stars,Normal,65,65,65,80,65,-,-,-,-,-,-,-,-,-,-,96-98,25,No,2017,50
9165,30,09/26/1990,Garett Ottaviano,2.0 Stars,2.0 Stars,Wrecked,40,45,40,-,45,45,-,-,20,50,-,-,-,-,-,93-95,40,No,2009,44
10938,26,06/16/1994,STEPHEN RIX,2.0 Stars,2.0 Stars,Durable,45,50,50,-,50,60,-,-,-,-,-,-,-,-,65,92-94,30,No,2013,49
8702,32,01/02/1989,Joe Simon,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2007,41
9139,34,01/08/1987,JOSEPH WHITE,2.0 Stars,2.0 Stars,Normal,45,45,45,-,45,35,50,-,30,45,-,-,-,-,-,91-93,50,No,2008,44
11631,24,12/16/1996,Jim Alcorn,2.0 Stars,2.0 Stars,Normal,55,35,45,-,-,-,80,70,-,-,-,-,-,-,-,97-99,25,No,2015,49
10423,27,11/26/1993,Pete Dean,1.5 Stars,1.5 Stars,Fragile,50,30,35,-,55,-,-,-,50,50,-,-,-,-,-,94-96,30,No,2012,50
10187,29,05/01/1992,Chris Haynes,2.0 Stars,2.0 Stars,Normal,50,35,50,50,35,-,60,-,-,-,-,-,-,-,-,94-96,65,No,2011,47
7549,39,10/19/1981,RICH JACKSON,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2003,41
9208,30,08/06/1990,Jayden Salcedo,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2009,45
6704,40,03/23/1981,Jake Thomas,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2002,40
8968,36,10/21/1984,MIKE ALLISON,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2006,42
10816,28,06/20/1992,Daniel Clark,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2011,48
11786,24,07/14/1996,Ron Cunningham,2.5 Stars,2.5 Stars,Durable,60,50,55,80,-,80,-,-,-,-,-,-,-,-,-,94-96,25,No,2015,50
13262,27,02/19/1994,Chris Frey,1.5 Stars,1.5 Stars,Normal,45,45,45,-,45,50,50,-,25,45,-,-,-,50,-,94-96,35,No,2017,52
10370,27,06/05/1993,Tyler Messamore,2.0 Stars,2.0 Stars,Normal,45,40,50,45,30,-,-,-,-,45,40,-,-,-,-,90-92,50,No,2012,51
6439,37,06/29/1983,JASON MORERA,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2002,41
8706,35,11/25/1985,Jason West,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2007,43
11681,26,12/14/1994,JOHN DONDALE,2.5 Stars,2.5 Stars,Normal,50,40,55,80,60,-,-,-,-,55,-,-,-,-,-,95-97,55,No,2013,52
10157,28,06/25/1992,Tom Hampshire,2.5 Stars,2.5 Stars,Normal,50,55,50,50,45,-,60,50,-,45,-,-,-,-,-,93-95,60,No,2011,49
9651,34,09/16/1986,Nate Hildebrand,1.5 Stars,1.5 Stars,Fragile,45,45,40,45,-,45,-,45,20,-,-,-,-,35,-,92-94,35,No,2008,47
12427,23,06/08/1997,ADAM KAUFMAN,2.5 Stars,2.5 Stars,Normal,55,45,50,75,55,-,75,55,-,-,-,-,-,-,-,95-97,65,No,2016,55
8363,32,01/12/1989,AARON PARKER,2.0 Stars,2.0 Stars,Wrecked,50,50,30,60,-,-,50,-,-,30,-,-,-,-,-,94-96,50,No,2007,44
7359,35,08/07/1985,PAUL PERDUE,2.5 Stars,2.5 Stars,Wrecked,40,55,45,45,45,-,-,-,45,-,-,-,-,-,-,91-93,45,No,2004,44
8965,34,02/19/1987,DANNY PIMENTEL,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2006,43
4689,42,11/25/1978,Axel Bader,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2000,43
11363,30,08/06/1990,Sami bin Asadel,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2012,53
9571,29,04/07/1992,JUSTIN ULBRICHT,2.5 Stars,2.5 Stars,Normal,45,50,50,50,-,-,45,45,35,45,-,-,-,-,-,95-97,55,No,2010,49
11705,25,01/04/1996,JOSE MARTINEZ,2.5 Stars,2.5 Stars,Normal,70,40,60,-,-,-,80,-,-,80,-,-,-,-,-,96-98,25,No,2014,54
8428,37,05/29/1983,Kenny Powers,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2005,47
10864,26,07/25/1994,Mike Rush,2.5 Stars,2.5 Stars,Normal,55,55,45,55,50,-,-,50,-,65,-,-,-,-,-,94-96,30,No,2012,54
9398,31,07/15/1989,CHRIS STEWART,2.5 Stars,2.5 Stars,Wrecked,45,65,50,45,-,-,-,45,-,-,-,-,-,-,-,91-93,30,No,2008,49
453,57,10/10/1963,Eric Clark,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,45
10165,28,04/15/1993,Jason Dickerson,2.5 Stars,2.5 Stars,Fragile,65,45,50,70,-,-,75,75,-,-,-,-,-,-,-,97-99,60,No,2011,52
9081,31,11/03/1989,BRETT GRINE,2.0 Stars,2.0 Stars,Iron Man,50,40,40,55,-,-,-,-,-,50,-,-,-,-,-,93-95,50,No,2008,50
6680,38,04/14/1983,Jorge Saldana,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2001,48
11433,27,05/08/1994,CLARK CASSETTY,2.5 Stars,2.5 Stars,Normal,55,40,60,60,50,-,-,60,-,70,-,-,-,-,-,95-97,35,No,2013,56
10794,33,03/21/1988,Chance Johnson,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2011,53
9012,35,05/30/1985,JOSE LOPEZ,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2007,48
9386,35,01/12/1986,EDDIE MORGAN,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2008,51
8504,32,05/28/1988,Scott Allen,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2007,49
13797,26,09/14/1994,ARMANDO CARRILLO,2.0 Stars,2.0 Stars,Fragile,45,40,50,50,-,-,45,40,45,-,-,-,-,-,-,92-94,70,No,2016,60
11605,24,09/21/1996,Kyle Rakes,2.0 Stars,2.0 Stars,Normal,65,30,45,80,-,-,80,-,-,-,-,-,-,-,-,96-98,30,No,2015,56
9518,30,03/17/1991,MIKE YOST,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2010,53
8399,31,08/12/1989,J.D. Autry,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2007,50
4039,45,06/28/1975,HECTOR CAMACHO,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,0,48
10850,30,11/27/1990,Danny Churchill,2.0 Stars,2.0 Stars,Durable,40,45,55,35,50,45,-,45,-,45,-,-,-,-,-,90-92,35,No,2012,58
11453,29,11/29/1991,TOM DOTINGA,2.5 Stars,2.5 Stars,Fragile,55,45,40,65,40,50,50,-,50,60,-,-,-,-,-,95-97,50,No,2014,58
7601,35,02/20/1986,ADAM WHALEY,2.5 Stars,2.5 Stars,Normal,45,70,50,50,50,-,-,-,-,35,-,-,-,-,-,92-94,40,No,2004,50
6731,37,02/12/1984,C.J. Label,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2002,49
9993,34,12/09/1986,Mike Palmer,2.0 Stars,2.0 Stars,Wrecked,55,60,40,65,-,-,60,-,-,-,-,-,-,-,-,93-95,40,No,2009,54
11392,29,06/08/1991,Nawaf Rafi,2.0 Stars,2.0 Stars,Normal,50,45,45,-,-,-,-,-,-,75,-,50,-,-,-,94-96,30,No,2012,59
12305,26,06/06/1994,IVICO STOJADINOVIC,2.0 Stars,2.0 Stars,Fragile,45,45,45,45,50,-,-,45,-,50,-,50,-,-,-,90-92,45,No,2015,58
8499,32,08/04/1988,Tyler Thompson,0.5 Stars,0.0 Stars,Durable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2007,51
12401,24,03/14/1997,HARM WIEBENGA,2.5 Stars,2.5 Stars,Normal,45,55,50,45,40,-,45,-,35,-,-,-,-,-,-,94-96,65,No,2016,62
6397,41,08/15/1979,Brandon Curro,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2001,53
11746,25,04/23/1996,Jason Pigeon,2.0 Stars,2.0 Stars,Normal,50,50,45,60,50,-,-,-,-,55,-,-,-,-,-,94-96,55,No,2015,59
13022,23,02/17/1998,Usaburo Pintado,1.5 Stars,2.5 Stars,Normal,80,40,55,80,-,80,-,-,-,-,-,-,-,-,-,95-97,40,No,2017,61
10820,30,06/15/1990,Elliot Berland,2.0 Stars,2.0 Stars,Normal,45,45,50,50,-,-,-,50,-,35,-,-,-,-,-,91-93,55,No,2012,61
9029,35,08/16/1985,Bobby Dutton,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2007,53
12424,24,03/29/1997,RAFAEL VARA,2.0 Stars,2.5 Stars,Durable,60,55,45,80,55,-,-,70,-,-,-,-,-,-,-,95-97,55,No,2016,64
10617,27,03/12/1994,ANDREW HAZEL,2.5 Stars,2.5 Stars,Fragile,65,40,45,80,55,-,-,60,-,-,-,-,-,-,-,96-98,30,No,2013,61
7961,33,09/12/1987,ERNESTO HERNANDEZ,2.0 Stars,2.0 Stars,Wrecked,50,55,40,50,-,-,-,-,-,55,-,-,-,-,-,93-95,45,No,2006,50
