ID,POS,Name,DOB,Age,OVR,POT,STU P,CON P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,STM,SctAcc
13141,SP,Jovan Djorovic,06/07/1997,20,0.5 Stars,2.0 Stars,40,50,55,45,45,-,-,45,-,-,-,-,-,-,-,40,Very High
12434,CL,SLAVKO DJURDJUVIC,08/21/1997,20,1.5 Stars,2.0 Stars,60,45,45,65,-,45,-,-,-,65,-,-,-,-,-,35,Average
14392,SP,Aca Djuretic,01/05/2000,17,0.5 Stars,2.0 Stars,45,45,50,50,55,-,-,-,50,-,-,-,-,-,-,50,Low
14350,RP,Ljuba Dobrica,03/01/1998,19,1.0 Stars,2.0 Stars,40,55,45,40,45,-,40,45,-,-,-,-,-,-,-,70,Very High
11704,RP,LORENZ DOEDENS,09/07/1995,22,2.0 Stars,2.0 Stars,60,45,45,70,-,-,70,-,-,-,-,-,-,-,-,30,Average
9742,RP,TED DOSS,05/01/1992,25,2.0 Stars,2.0 Stars,60,35,40,65,45,-,-,60,-,-,-,-,-,-,-,55,Very High
11453,SP,TOM DOTINGA,11/29/1991,25,2.0 Stars,2.0 Stars,55,45,45,60,50,55,55,-,55,60,-,-,-,-,-,50,Very High
13465,SP,Andre Dowling,08/17/1997,20,1.0 Stars,2.0 Stars,45,60,45,50,50,-,45,-,55,-,-,-,-,-,-,55,Very High
12954,SP,KANE DOWNES,09/18/1997,20,0.5 Stars,2.0 Stars,50,50,45,50,45,50,50,45,-,55,-,-,-,-,-,50,Very High
12949,SP,PETE DRAPCHO,03/31/1998,19,0.5 Stars,2.0 Stars,45,45,55,45,55,-,40,-,-,-,-,-,-,-,-,70,Average
4666,RP,Mat Druien,11/11/1978,38,2.0 Stars,2.0 Stars,45,50,45,45,-,50,-,-,-,-,-,-,-,-,-,30,Average
11886,SP,Ratko Drulovic,12/19/1995,21,1.5 Stars,2.0 Stars,55,45,50,60,50,60,-,-,-,60,-,-,-,-,-,35,High
10675,RP,Sibrand Dubbeldam,03/17/1994,23,2.0 Stars,2.0 Stars,55,45,45,-,55,50,50,-,50,65,-,-,-,45,-,55,Very High
14480,SP,Alfie Duke,08/16/2001,16,0.5 Stars,2.0 Stars,60,45,50,60,-,60,-,55,-,70,-,-,-,-,-,40,Very High
11054,RP,Eddie Duran,10/19/1993,24,2.0 Stars,2.0 Stars,50,45,35,60,45,50,50,45,45,-,-,-,-,-,-,55,Very High
9029,SP,Bobby Dutton,08/16/1985,32,2.0 Stars,2.0 Stars,50,50,40,55,-,-,-,50,-,55,45,-,-,-,-,60,Very High
12929,RP,JULCIR EDMAN,08/28/1993,24,2.0 Stars,2.0 Stars,45,45,40,60,45,-,-,-,-,-,-,-,-,-,-,30,High
10648,SP,Archie Edmonds,05/26/1993,24,1.5 Stars,2.0 Stars,55,45,45,55,45,-,60,-,-,-,-,-,-,65,-,55,High
11617,SP,ISAIAH EDWARDS,01/04/1997,20,1.0 Stars,2.0 Stars,50,50,45,60,45,-,60,-,-,-,-,-,-,-,-,45,Very High
12307,SP,MIKE EDWARDS,01/31/1997,20,0.5 Stars,2.0 Stars,45,45,50,45,45,55,40,-,-,-,-,-,-,-,-,45,High
6277,RP,Griffey Emmett,06/20/1982,35,2.0 Stars,2.0 Stars,45,45,50,45,50,45,50,-,55,-,35,-,-,-,-,55,Very High
11750,SP,Isami Endo,03/19/1996,21,1.5 Stars,2.0 Stars,45,45,55,45,55,-,-,60,-,-,-,-,-,-,-,45,High
11259,SP,Cooper England,10/20/1995,22,1.5 Stars,2.0 Stars,50,55,50,60,-,-,-,50,-,60,-,-,-,-,-,40,Very High
13536,SP,Alex Escalante,01/04/1998,19,0.5 Stars,2.0 Stars,40,50,55,45,35,45,-,45,-,-,-,-,-,-,-,50,Average
14930,SP,Edwin Escobar,09/01/1986,31,2.0 Stars,2.0 Stars,45,50,45,45,55,40,-,55,-,-,-,-,-,-,-,55,Low
12432,SP,RICO ESQUIVEL,05/25/1998,19,0.5 Stars,2.0 Stars,45,50,55,45,50,40,50,-,-,-,-,-,-,-,-,40,High
12459,SP,David Estrada,11/13/1996,20,0.5 Stars,2.0 Stars,45,50,50,50,35,-,-,50,-,45,-,-,-,-,-,45,Very High
15338,SP,Josh Ewin,12/06/2000,16,0.5 Stars,2.0 Stars,45,50,45,50,55,-,-,-,60,-,-,-,-,-,-,60,Low
12266,SP,Bobby Faber,09/03/1996,21,0.5 Stars,2.0 Stars,45,45,50,50,50,-,-,45,-,50,-,-,45,-,-,70,Average
14823,CL,Zayd Fakhiri,08/21/2000,17,0.5 Stars,2.0 Stars,50,50,55,-,-,60,-,-,-,55,-,-,-,-,-,30,Low
11800,RP,ABDUL-NASIR FAKHRY,06/30/1996,21,1.5 Stars,2.0 Stars,55,50,45,60,50,65,-,-,-,55,-,-,-,-,-,40,Very High
11885,SP,Daniel Fallon,05/25/1995,22,1.5 Stars,2.0 Stars,55,55,40,75,60,-,-,55,-,-,-,-,-,-,-,55,Very High
10133,RP,Jose Fanjul,06/26/1992,25,2.0 Stars,2.0 Stars,55,45,40,65,45,-,-,55,-,-,-,-,50,-,-,40,Very High
14079,RP,Safwan Fawwaz,03/16/1999,18,0.5 Stars,2.0 Stars,40,50,60,45,45,-,45,-,-,-,-,-,-,-,-,50,Average
13793,RP,TIMMY FEENSTRA,03/06/1998,19,1.5 Stars,2.0 Stars,40,50,50,45,55,-,-,45,-,-,-,-,-,-,-,35,Very High
10333,RP,Hugo Feliciano,08/02/1992,25,2.0 Stars,2.0 Stars,50,45,45,65,50,-,50,-,-,-,-,-,-,-,-,60,High
12194,SP,Ricky Felix,05/31/1996,21,1.0 Stars,2.0 Stars,55,35,50,65,50,65,45,55,-,-,-,-,-,-,-,80,Very High
13215,SP,Victor Felix,03/05/1998,19,0.5 Stars,2.0 Stars,60,45,45,70,-,-,-,55,60,55,-,-,-,-,-,30,Very High
9224,RP,MICAH FERGUSON,04/08/1990,27,2.0 Stars,2.0 Stars,55,40,45,55,40,-,-,-,65,-,-,-,-,-,-,60,High
8492,RP,PETE FERGUSSON,05/14/1989,28,2.0 Stars,2.0 Stars,50,45,50,55,-,55,-,45,-,-,-,-,-,-,-,55,Very High
10702,CL,Hugo Fernandez,03/22/1994,23,2.0 Stars,2.0 Stars,55,45,35,60,50,-,-,-,60,-,-,-,-,-,-,55,High
10561,RP,ALLEN FESS,11/24/1994,22,1.5 Stars,2.0 Stars,55,35,45,-,55,-,55,55,60,-,-,-,-,-,-,55,Very High
12846,RP,Ricardo Figueroa,02/23/1997,20,1.5 Stars,2.0 Stars,50,50,45,60,-,60,-,-,-,-,-,-,-,-,-,30,Very High
12354,RP,XAVIER FISHBURN,05/17/1997,20,1.5 Stars,2.0 Stars,45,55,45,45,50,-,-,-,-,-,-,-,-,55,-,55,Average
13856,SP,Jai Flemming,05/13/2000,17,0.5 Stars,2.0 Stars,45,55,45,-,45,45,45,45,-,50,-,-,-,-,-,65,Very High
12911,RP,DAVE FLORES,10/24/1996,21,1.5 Stars,2.0 Stars,45,55,45,40,45,-,40,-,-,50,-,-,-,-,-,65,High
14037,CL,Jesus Flores,04/12/1999,18,0.5 Stars,2.0 Stars,55,35,50,50,-,-,55,-,-,-,-,-,-,-,-,35,Average
10591,RP,JEFF FOOTE,04/11/1994,23,2.0 Stars,2.0 Stars,60,45,50,70,50,-,-,60,-,-,-,-,-,-,-,40,Very High
12418,SP,BENEDITO FRADESSO,08/27/1997,20,0.5 Stars,2.0 Stars,45,55,55,45,55,-,-,50,-,-,-,-,-,-,-,45,Very High
14182,SP,Israel Franco,03/18/1999,18,0.5 Stars,2.0 Stars,45,45,50,45,-,50,-,50,-,-,-,-,-,-,-,50,Low
7081,SP,Marco Franco,03/07/1983,34,2.0 Stars,2.0 Stars,40,60,45,45,45,40,40,-,-,-,-,-,-,40,-,75,High
10113,SP,RYAN FREITAS,07/23/1992,25,2.0 Stars,2.0 Stars,50,40,50,60,50,-,-,-,-,50,60,-,-,-,-,50,Low
14549,SP,Ryan Friedrich,02/26/2001,16,0.5 Stars,2.0 Stars,55,50,50,50,60,-,-,55,-,-,-,-,-,-,-,45,Very High
11899,SP,Benjamin Frith,07/24/1995,22,1.5 Stars,2.0 Stars,45,50,50,45,55,-,-,-,-,55,-,-,-,-,-,50,Very High
12956,RP,CLARROS FRONTOURA,10/20/1994,23,1.5 Stars,2.0 Stars,50,50,45,60,-,55,-,-,-,-,-,-,-,-,-,40,High
14032,SP,Nori Fujimoto,11/08/1998,18,0.5 Stars,2.0 Stars,50,65,45,-,55,-,45,-,-,55,-,-,60,-,-,55,Very High
13214,SP,SHIGEM FUJITA,07/27/1996,21,1.5 Stars,2.0 Stars,50,45,50,-,50,55,40,-,50,55,-,-,-,50,-,50,Very High
6479,RP,JAYDEN GAINES,06/23/1983,34,2.0 Stars,2.0 Stars,50,45,45,50,40,-,-,-,-,50,-,-,-,-,-,40,Very High
10100,SP,Andy Gallivan,08/28/1993,24,2.0 Stars,2.0 Stars,45,45,55,-,50,-,55,-,-,50,-,-,-,-,-,55,High
9520,SP,RAY GALVAN,03/27/1991,26,2.0 Stars,2.0 Stars,45,55,45,55,50,-,-,-,50,-,45,-,-,-,-,60,High
15103,SP,Kyle Gamblin,08/29/2001,16,0.5 Stars,2.0 Stars,45,50,45,45,55,-,50,-,-,-,-,-,-,-,-,65,Very Low
13711,SP,Cruz Gamez,05/10/1998,19,0.5 Stars,2.0 Stars,40,55,60,40,50,-,-,45,50,-,-,-,-,-,-,70,High
11487,RP,IVAN GARCIA,02/07/1992,25,1.5 Stars,2.0 Stars,50,40,45,60,-,50,-,-,-,50,-,-,-,-,-,30,Very High
12326,SP,JOEY GARDNER,09/27/1996,21,0.5 Stars,2.0 Stars,50,50,45,60,55,-,60,-,60,-,-,-,-,-,-,75,Very High
8988,RP,Savion Garrett,02/19/1985,32,2.0 Stars,2.0 Stars,50,55,45,-,60,-,-,-,-,65,-,-,-,-,-,20,High
13232,SP,Ramon Garza,01/05/1998,19,0.5 Stars,2.0 Stars,50,55,45,55,55,-,-,-,60,-,-,-,-,50,-,55,High
11712,RP,RHYS GAULT,03/06/1996,21,2.0 Stars,2.0 Stars,55,40,55,55,60,-,-,-,-,-,-,-,-,-,-,30,Very High
8905,RP,Martin Gilbert,01/09/1989,28,2.0 Stars,2.0 Stars,55,50,40,55,60,60,50,-,-,-,-,-,-,35,-,45,Very High
11679,SP,ADRIAN GILMORE,01/06/1995,22,1.5 Stars,2.0 Stars,55,55,45,55,50,-,60,60,-,-,-,-,-,-,-,40,Very High
11419,RP,JACK GLEISBERG,08/14/1991,26,2.0 Stars,2.0 Stars,45,45,40,-,45,-,50,-,-,45,-,-,-,-,-,55,Very High
10083,RP,Chris Glinka,08/31/1993,24,2.0 Stars,2.0 Stars,55,35,50,60,35,-,-,-,65,-,-,-,-,-,-,30,Average
7440,RP,Ricardo Gobbi,01/01/1984,33,2.0 Stars,2.0 Stars,50,45,40,50,50,-,-,-,60,-,-,-,-,-,-,50,Very High
12211,SP,Scott Goble,02/24/1996,21,0.5 Stars,2.0 Stars,50,45,45,60,55,-,60,-,-,55,-,-,-,-,-,65,Very High
13087,RP,Dario Gomez,07/06/1998,19,1.5 Stars,2.0 Stars,55,55,50,60,-,-,-,55,-,60,-,-,-,-,-,30,Average
11489,RP,EDWIN GOMEZ,12/28/1995,21,2.0 Stars,2.0 Stars,70,50,40,70,-,-,-,65,-,65,-,-,-,-,-,30,High
10497,RP,Jose Gomez,07/16/1993,24,2.0 Stars,2.0 Stars,55,35,45,60,-,50,-,55,-,-,-,-,-,-,-,50,Very High
11691,RP,EDGAR GONZALES,10/11/1992,25,2.0 Stars,2.0 Stars,55,30,60,65,-,-,60,-,-,-,-,-,-,-,-,25,Very High
13224,RP,David Gonzalez,01/19/1998,19,1.5 Stars,2.0 Stars,65,40,45,65,-,-,75,-,-,-,-,-,-,-,-,25,High
13587,SP,Willie Gonzalez,05/06/1998,19,0.5 Stars,2.0 Stars,35,65,55,45,45,-,-,-,-,-,-,-,-,40,-,50,Average
7572,RP,JOHN GOOD,02/08/1986,31,2.0 Stars,2.0 Stars,50,50,35,60,50,45,-,-,30,-,-,-,40,-,-,60,Very High
14965,SP,Lloyd Gould,06/18/1999,18,0.5 Stars,2.0 Stars,40,35,55,45,-,45,-,50,-,-,-,-,-,-,-,50,High
12185,SP,Ivan Govedarica,08/31/1995,22,1.5 Stars,2.0 Stars,50,45,50,50,55,65,-,-,-,55,-,-,-,-,-,55,High
13402,SP,Adam Gray,06/06/1998,19,0.5 Stars,2.0 Stars,50,50,45,-,55,45,50,50,55,-,-,-,-,-,-,65,Very High
8530,RP,ANDREW GRAYSON,11/20/1988,28,2.0 Stars,2.0 Stars,35,30,65,45,40,-,-,40,-,-,-,-,-,-,-,55,Very High
10361,SP,WILL GRAYSON,01/02/1994,23,2.0 Stars,2.0 Stars,50,50,50,65,60,-,70,-,-,-,-,-,-,-,-,55,Very High
13319,SP,Alan Green,02/01/1999,18,0.5 Stars,2.0 Stars,50,45,45,55,55,-,-,-,-,60,-,-,-,-,-,70,Very High
15018,SP,Dan Griffin,01/26/1998,19,0.5 Stars,2.0 Stars,45,55,50,45,55,-,50,50,-,45,-,-,-,-,-,60,High
11673,RP,KEEHAN GRIFFIN,11/25/1994,22,2.0 Stars,2.0 Stars,55,50,50,70,60,-,45,-,-,-,-,-,-,-,-,55,Very High
9081,RP,BRETT GRINE,11/03/1989,27,2.0 Stars,2.0 Stars,55,45,40,60,35,-,-,-,-,55,-,-,-,-,-,50,High
14022,SP,Borenko Grol,04/20/1999,18,0.5 Stars,2.0 Stars,45,45,55,45,50,-,-,50,-,-,-,-,-,-,-,60,High
8298,SP,DAVID GUERRERO,01/25/1984,33,2.0 Stars,2.0 Stars,50,40,55,60,-,50,-,55,-,-,-,-,-,-,-,60,Average
9577,RP,NICK GULLEY,02/04/1991,26,2.0 Stars,2.0 Stars,55,40,45,70,35,-,70,-,-,-,-,-,-,-,-,30,Low
11754,SP,Landon Gunn,11/27/1996,20,1.5 Stars,2.0 Stars,50,50,45,-,50,50,55,-,50,50,-,-,-,-,-,55,Very High
11205,SP,Burton Guster,06/23/1995,22,1.5 Stars,2.0 Stars,45,50,45,45,50,-,-,-,-,65,-,-,-,-,-,55,Average
10356,RP,Lorenzo Gutierrez,05/11/1992,25,2.0 Stars,2.0 Stars,50,45,40,60,40,-,50,-,-,-,-,-,-,-,-,40,Very High
12189,RP,Lupe Gutierrez,06/06/1985,32,2.0 Stars,2.0 Stars,50,35,50,60,-,-,55,-,-,-,-,-,-,-,-,35,High
10087,RP,Joel Haddad,06/06/1993,24,2.0 Stars,2.0 Stars,50,45,40,55,50,-,-,-,-,-,-,-,55,-,-,50,Very High
9000,SP,Dustin Hagar,08/24/1985,32,2.0 Stars,2.0 Stars,45,45,50,55,40,-,45,50,-,-,-,-,-,-,-,55,High
13803,RP,Bill Hall,09/29/1999,18,1.0 Stars,2.0 Stars,55,30,45,50,55,65,-,45,60,-,-,-,-,-,-,55,Average
10842,RP,BRYAN HALL,07/09/1993,24,2.0 Stars,2.0 Stars,60,40,50,75,-,-,65,-,50,-,-,-,-,-,-,45,Average
12871,SP,Oscar Halley,04/07/1997,20,0.5 Stars,2.0 Stars,50,50,45,45,55,50,-,55,-,-,-,-,55,-,-,55,Average
13968,RP,Khuzaymah Hamid,01/09/2000,17,0.5 Stars,2.0 Stars,50,60,50,50,60,-,-,-,-,-,-,-,-,-,-,30,Very High
10563,SP,MARK HAMILTON,05/03/1995,22,1.5 Stars,2.0 Stars,50,50,45,60,-,60,-,-,55,-,-,-,-,-,-,60,Very High
10446,RF,Tim Hamilton,11/15/1993,23,1.5 Stars,2.0 Stars,45,35,30,50,-,-,40,50,50,-,-,-,-,-,-,55,Very High
12315,RP,HASAN HANA,12/08/1992,24,1.5 Stars,2.0 Stars,45,30,55,45,45,-,50,-,-,-,-,-,-,35,-,55,Very High
13320,CL,Jafar Hanif,06/09/1999,18,1.5 Stars,2.0 Stars,55,50,45,65,-,60,-,-,-,-,-,-,-,-,-,30,Very High
12299,RP,YASUFUMI HARAGUCHI,02/26/1997,20,1.5 Stars,2.0 Stars,55,35,50,-,-,60,-,-,-,70,-,-,-,-,-,25,High
13035,RP,Tony Harding,07/21/1998,19,1.0 Stars,2.0 Stars,50,40,45,55,-,-,55,-,-,-,-,-,-,-,-,30,Very High
13372,RP,Jerry Harkness,09/28/1998,19,0.5 Stars,2.0 Stars,55,45,50,-,60,-,-,-,-,65,-,-,-,-,-,25,Very High
14586,SP,Rob Harman,10/19/2000,17,0.5 Stars,2.0 Stars,45,50,55,45,60,-,-,-,45,-,-,-,-,-,-,60,Very High
10818,RP,John Harris,09/19/1993,24,2.0 Stars,2.0 Stars,50,35,45,-,50,-,55,-,-,55,-,-,-,-,-,55,Very High
7561,RP,Tom Harris,08/14/1981,36,2.0 Stars,2.0 Stars,50,65,35,45,55,-,50,50,-,-,-,-,-,-,-,70,High
5610,RP,Chris Harrod,08/08/1977,40,2.0 Stars,2.0 Stars,45,45,45,45,-,55,-,-,-,-,-,-,-,-,-,55,Average
15040,SP,Aaron Hass,03/25/2001,16,0.5 Stars,2.0 Stars,40,40,55,45,45,-,45,45,-,-,-,-,-,-,-,65,Low
10187,RP,Chris Haynes,05/01/1992,25,2.0 Stars,2.0 Stars,50,45,50,55,35,-,60,-,-,-,-,-,-,-,-,65,Very High
14579,SP,Dan Haynes,05/13/2001,16,0.5 Stars,2.0 Stars,40,55,55,-,45,-,45,-,50,45,-,-,-,-,-,65,High
10562,RP,SEAN HENDERSON,07/24/1994,23,1.5 Stars,2.0 Stars,60,40,45,65,50,-,45,-,70,-,-,-,-,-,-,35,Very High
10184,SP,Jose Hernandez,10/30/1992,25,2.0 Stars,2.0 Stars,50,45,50,-,55,55,35,55,-,55,-,-,-,-,-,70,Very High
10506,RP,Marcus Hewitt,08/01/1993,24,2.0 Stars,2.0 Stars,50,45,50,60,35,-,-,50,-,-,-,-,-,-,-,35,High
12471,RP,Teddy Hewson,05/04/1996,21,2.0 Stars,2.0 Stars,50,40,35,60,55,-,-,-,40,-,-,-,-,-,-,55,Very High
9651,RP,Nate Hildebrand,09/16/1986,31,2.0 Stars,2.0 Stars,50,50,45,55,-,50,-,50,35,-,-,-,-,40,-,40,Very High
10608,SP,Cody Hillock,11/19/1994,22,2.0 Stars,2.0 Stars,50,55,50,60,-,-,50,50,-,-,-,-,-,-,-,45,Very High
11114,SP,Travis Himes,09/16/1993,24,1.5 Stars,2.0 Stars,40,45,55,45,50,45,45,-,45,-,-,-,-,-,-,50,Very High
11996,RP,Sukenobu Hirasawa,08/18/1995,22,2.0 Stars,2.0 Stars,50,40,40,60,50,-,45,-,-,-,-,-,-,-,-,55,High
11408,RP,Trevor Hiscock,06/22/1990,27,2.0 Stars,2.0 Stars,45,40,55,-,60,-,-,-,-,50,-,-,-,-,-,30,High
12413,SP,JEFF HOBBS,05/03/1997,20,1.0 Stars,2.0 Stars,45,45,55,55,50,-,-,-,-,55,-,-,-,-,-,55,High
14438,SP,Brad Hogan,08/07/2000,17,0.5 Stars,2.0 Stars,50,45,55,50,60,-,-,-,-,60,-,-,-,-,-,65,Very High
8338,RP,MATT HOLTERMAN,10/31/1988,29,2.0 Stars,2.0 Stars,55,40,40,55,40,-,-,-,-,60,-,-,-,-,-,50,Average
11805,CL,Naohiro Honda,09/28/1995,22,2.0 Stars,2.0 Stars,55,45,45,60,55,-,60,-,55,-,55,-,-,-,-,55,Very High
12693,SP,Kuniyoshi Horii,02/10/1997,20,1.5 Stars,2.0 Stars,55,45,45,60,60,-,-,-,-,65,45,-,-,-,-,55,Very High
9241,RP,Travis Horn,07/19/1991,26,2.0 Stars,2.0 Stars,50,35,45,55,-,-,-,55,-,-,-,-,-,-,-,50,Very High
10910,RP,PETE HOSKINS,11/07/1991,25,2.0 Stars,2.0 Stars,50,30,55,-,60,-,-,-,55,55,-,-,-,-,-,35,High
11421,SP,MARK HOUSE,08/24/1995,22,1.5 Stars,2.0 Stars,45,50,60,45,-,40,-,45,45,-,-,-,-,-,-,30,Average
14095,SP,Conrad Houwers,06/24/1999,18,0.5 Stars,2.0 Stars,50,40,60,-,50,55,40,50,55,55,-,-,-,-,-,75,Average
15007,SP,Vaclav Hoving,09/07/1997,20,0.5 Stars,2.0 Stars,45,50,50,45,45,60,-,50,-,-,-,-,-,-,-,60,Low
15092,RP,Walter Howell,02/16/2002,15,0.5 Stars,2.0 Stars,45,45,55,45,-,45,-,-,-,-,-,-,-,-,-,30,Low
13535,RP,Mario Huerta,10/12/1997,20,1.5 Stars,2.0 Stars,45,55,40,45,55,-,-,45,-,-,-,-,-,-,-,65,High
9132,RP,ERIC HUFFMAN,11/02/1989,28,2.0 Stars,2.0 Stars,55,35,45,60,45,55,-,60,-,50,-,-,-,-,-,30,Very High
13203,RP,CHARLIE HURST,06/27/1997,20,1.5 Stars,2.0 Stars,60,55,40,70,-,-,60,-,-,-,-,-,-,-,-,30,Average
12062,RP,Abdul-Bari Husayn,12/06/1995,21,1.5 Stars,2.0 Stars,70,30,45,70,-,-,-,-,75,-,-,-,-,-,-,25,Average
10460,RP,Jong-hyeon Hwang,12/01/1992,24,2.0 Stars,2.0 Stars,50,50,40,55,-,-,55,50,-,-,-,-,-,-,-,35,Very High
11822,SP,Jordan Ibarra,05/28/1995,22,1.5 Stars,2.0 Stars,45,60,50,45,45,55,-,-,45,-,-,-,-,-,-,55,Very High
11333,RP,Jun-hyuk Im,09/15/1995,22,1.5 Stars,2.0 Stars,55,45,45,65,-,-,60,60,-,-,-,-,-,-,-,40,High
12129,RP,Young-jae Im,02/14/1996,21,2.0 Stars,2.0 Stars,60,45,45,-,55,-,-,-,-,75,-,-,-,-,-,30,Very High
15027,SP,Abdul-Qahhar Imad al Din,07/24/2001,16,0.5 Stars,2.0 Stars,45,50,45,45,55,50,50,-,-,-,-,-,-,-,-,65,High
14105,SP,Sukeichi Iwaki,04/29/1999,18,0.5 Stars,2.0 Stars,50,40,60,50,60,-,-,-,-,55,-,-,-,40,-,45,Average
14603,RP,Cecilio Jacquet,12/11/2000,16,0.5 Stars,2.0 Stars,65,35,50,55,70,-,35,-,-,-,-,-,-,-,-,45,Very High
14566,SP,Cody James,03/13/2000,17,0.5 Stars,2.0 Stars,55,45,45,55,55,45,-,60,-,-,-,-,-,-,-,45,Very High
11902,SP,Carsten Janssen,04/25/1996,21,1.5 Stars,2.0 Stars,50,45,50,55,50,-,-,60,-,60,-,-,-,-,-,45,Very High
14426,SP,Gavin Jenkins,05/08/1999,18,0.5 Stars,2.0 Stars,50,45,50,45,60,60,55,55,-,-,-,-,-,-,-,50,High
11635,SP,SAMUEL JENKINS,04/11/1996,21,1.5 Stars,2.0 Stars,50,45,55,-,60,45,-,-,60,55,-,-,-,-,-,65,Very High
12452,SP,SCOTT JENSEN,07/21/1997,20,1.5 Stars,2.0 Stars,45,50,45,50,45,50,-,50,50,-,-,-,-,45,-,50,Low
9587,RP,TYLER JEX,12/09/1991,25,2.0 Stars,2.0 Stars,50,45,45,55,35,-,-,50,-,-,-,-,-,-,-,25,Low
13818,RP,Antonio Jimenez,09/15/1995,22,1.5 Stars,2.0 Stars,55,40,50,65,-,-,60,-,-,-,-,-,-,-,-,35,High
11669,CL,ELTON JOHN,12/17/1994,22,1.5 Stars,2.0 Stars,65,30,45,80,-,-,70,-,-,-,-,-,-,-,-,25,High
13836,RP,Ben Johnson,05/22/1995,22,1.5 Stars,2.0 Stars,50,45,50,50,-,-,50,-,-,55,-,-,-,-,-,35,Very High
15204,SP,Niko Jokanovic,01/12/2001,16,0.5 Stars,2.0 Stars,45,55,50,45,60,-,50,-,-,-,-,-,-,-,-,70,High
14756,SP,Trevor Jollymour,03/06/2000,17,0.5 Stars,2.0 Stars,45,35,55,45,50,45,-,50,45,-,-,-,-,-,-,40,Average
9596,RP,STEVE JONES,03/15/1991,26,2.0 Stars,2.0 Stars,50,30,40,55,-,-,45,55,-,-,-,-,-,-,-,50,Very High
10255,RP,Antonio Juarez,08/23/1992,25,2.0 Stars,2.0 Stars,45,35,50,50,50,-,-,-,50,-,-,-,-,-,-,30,Average
12666,RP,Joe Judson,06/28/1997,20,1.5 Stars,2.0 Stars,55,40,50,55,55,-,55,60,-,-,-,-,-,-,-,45,High
13148,SP,Graciano Kains,07/12/1997,20,0.5 Stars,2.0 Stars,40,60,50,45,45,45,-,45,-,-,-,-,-,-,-,45,High
11350,RP,Jae-geol Kang,09/14/1991,26,2.0 Stars,2.0 Stars,60,45,50,65,50,-,-,-,-,65,-,-,-,-,-,35,High
9324,SP,Jung-hoon Kang,01/22/1990,27,2.0 Stars,2.0 Stars,60,35,50,60,65,-,-,-,-,65,-,-,-,-,-,45,Very High
13782,SP,MATT KAUSER,08/20/1997,20,1.0 Stars,2.0 Stars,60,40,50,45,60,70,-,70,-,-,-,-,-,-,-,50,Very High
10319,SP,Akinami Kawabata,04/23/1992,25,2.0 Stars,2.0 Stars,55,40,50,60,45,-,40,55,-,60,-,-,-,-,-,55,High
14434,CL,Paul Kean,05/24/2000,17,0.5 Stars,2.0 Stars,55,50,55,50,-,65,-,-,-,-,-,-,-,-,-,35,Average
12394,SP,JONATHAN KEAVENEY,08/24/1997,20,0.5 Stars,2.0 Stars,55,30,55,75,65,-,-,-,40,-,-,-,-,-,-,55,Low
10933,SP,Jeff Kelley,04/26/1991,26,2.0 Stars,2.0 Stars,50,40,50,55,-,-,-,55,-,55,-,-,-,-,-,55,High
13185,RP,DON KELLY,06/21/1996,21,1.5 Stars,2.0 Stars,55,45,45,-,-,70,-,-,-,60,-,-,-,-,-,35,Very High
11485,SP,WOUTER KERSTENS,09/07/1996,21,1.0 Stars,2.0 Stars,50,50,45,60,50,-,-,55,-,-,-,-,-,-,-,65,Very High
9812,RP,Paul Kilbride,04/15/1991,26,2.0 Stars,2.0 Stars,65,35,40,75,60,70,75,40,-,-,-,-,-,-,-,35,High
10373,RP,Eddie Kile,07/17/1993,24,2.0 Stars,2.0 Stars,55,40,45,65,45,-,-,55,-,-,-,-,-,-,-,35,Very High
11698,SP,HAN-YIE KIM,04/08/1992,25,1.5 Stars,2.0 Stars,50,40,50,50,50,-,-,-,65,-,-,-,-,35,-,60,High
14297,SP,Hee-ho Kim,10/24/1999,18,0.5 Stars,2.0 Stars,55,30,50,60,50,65,60,45,-,-,-,-,-,-,-,60,High
14581,SP,Hwi-gon Kim,05/30/2000,17,0.5 Stars,2.0 Stars,45,40,50,45,55,-,-,50,-,45,-,-,-,-,-,50,Average
14166,SP,Hyeon-sang Kim,01/18/1999,18,0.5 Stars,2.0 Stars,45,55,50,45,50,55,-,-,55,-,-,-,-,-,-,60,Average
14289,SP,Jae-keol Kim,01/16/1999,18,0.5 Stars,2.0 Stars,40,45,50,45,45,50,-,-,50,-,-,-,-,-,-,45,Low
12680,RP,Ji-hoon Kim,05/03/1996,21,1.5 Stars,2.0 Stars,45,50,50,-,45,45,45,-,-,45,-,-,-,45,-,40,Very High
11454,SP,JIN-MAN KIM,08/25/1994,23,2.0 Stars,2.0 Stars,50,45,50,50,50,50,-,50,-,50,-,-,-,-,-,60,Very High
11911,SP,Jong-ho Kim,08/01/1995,22,1.5 Stars,2.0 Stars,50,50,45,-,55,65,45,-,-,60,-,-,-,-,-,55,Average
14641,SP,Joong-hee Kim,05/29/1999,18,0.5 Stars,2.0 Stars,60,45,50,-,60,70,-,-,45,60,-,-,-,-,-,65,Low
9271,RP,Ki-tae Kim,12/17/1989,27,2.0 Stars,2.0 Stars,55,35,45,50,50,-,-,-,-,-,-,-,-,60,-,55,Very High
