STU P,MOV P,CON P,PBABIP P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,VT
40,40,25,45,40,45,35,-,40,40,-,-,-,-,-,-,-,91-93
40,45,50,40,45,40,35,-,40,-,-,45,-,-,-,-,-,91-93
40,45,30,45,45,40,40,35,-,-,35,-,-,-,-,35,-,91-93
40,70,55,50,75,45,50,45,-,-,50,-,-,-,-,-,-,89-91
40,40,40,45,35,40,45,-,45,-,40,-,-,-,-,-,-,88-90
40,50,50,45,50,40,45,-,-,45,-,45,-,-,-,-,-,90-92
40,70,60,60,70,45,25,-,-,45,-,-,-,-,-,-,-,91-93
40,45,50,45,50,35,50,-,-,-,45,-,-,-,-,-,-,89-91
40,45,45,40,45,40,50,50,-,45,-,35,-,-,-,-,-,89-91
40,50,40,50,50,40,50,40,40,-,50,-,-,-,-,-,-,90-92
40,50,30,45,50,45,45,-,-,-,40,-,-,-,-,-,-,92-94
40,40,30,45,40,40,45,-,-,-,-,-,-,-,-,45,-,90-92
40,40,35,40,40,40,-,-,-,45,-,40,-,-,-,-,-,90-92
40,40,45,40,45,-,40,-,45,-,45,45,-,-,-,-,-,90-92
40,40,25,45,40,45,40,40,45,-,-,-,-,-,-,-,-,91-93
40,45,45,40,45,40,30,-,-,-,40,-,-,-,-,-,-,91-93
40,65,55,45,75,-,45,40,40,-,45,45,-,-,-,40,-,92-94
40,45,25,45,45,40,-,-,-,40,-,40,-,-,-,-,-,91-93
40,45,30,45,45,40,40,-,-,40,-,-,-,-,-,-,-,90-92
40,50,60,40,50,45,40,-,45,45,-,-,-,-,-,-,-,92-94
40,50,55,50,50,40,50,50,40,45,-,-,-,-,-,-,-,88-90
40,55,60,50,65,-,50,-,40,-,40,45,-,-,-,-,-,92-94
40,45,45,45,50,-,-,50,-,-,-,50,-,45,-,-,-,92-94
40,40,50,45,35,40,45,45,-,40,40,-,-,-,-,-,-,89-91
40,40,45,45,40,45,45,-,45,-,-,-,-,-,-,-,-,90-92
40,55,50,55,55,50,40,35,-,40,-,-,-,-,-,-,-,93-95
40,50,45,40,60,40,50,-,-,35,-,45,-,-,-,-,-,88-90
40,50,50,40,50,50,45,-,40,-,-,-,-,-,-,-,-,94-96
40,40,25,40,40,40,35,-,-,-,45,-,-,-,-,-,-,91-93
40,45,45,35,45,35,35,-,-,40,-,30,-,-,-,-,-,88-90
40,45,30,45,45,45,45,35,-,40,-,-,-,-,-,-,-,90-92
40,35,25,45,35,45,45,-,-,-,35,-,-,-,-,-,-,90-92
40,45,30,45,45,45,35,40,-,40,-,-,-,-,-,-,-,93-95
40,45,45,45,50,55,45,-,30,-,-,-,-,-,-,-,-,93-95
40,40,25,45,35,40,40,-,-,45,-,-,-,-,-,-,-,89-91
40,35,40,40,35,40,35,45,45,-,45,-,-,-,-,40,-,89-91
40,40,40,40,40,-,40,50,-,-,-,40,-,-,-,-,-,89-91
40,35,25,45,30,45,40,-,45,-,-,-,-,-,-,-,-,92-94
40,50,50,40,55,40,45,45,-,-,-,40,-,-,-,-,-,89-91
40,45,70,40,50,40,45,-,-,-,-,40,-,-,-,-,-,88-90
40,45,45,40,45,45,50,-,50,-,-,-,-,-,-,-,-,94-96
40,50,45,45,50,50,40,-,45,-,35,-,-,-,-,-,-,95-97
40,40,25,45,35,-,45,45,-,-,45,45,-,-,-,-,-,89-91
40,50,45,40,50,40,45,-,-,40,45,-,-,-,-,-,-,91-93
40,50,45,45,50,-,45,-,50,-,-,45,-,-,-,-,-,93-95
40,45,45,45,45,40,40,-,-,40,-,35,-,-,-,-,-,90-92
40,40,40,40,45,40,45,-,-,45,-,-,-,-,-,-,-,92-94
40,50,45,45,55,45,50,30,45,-,-,-,-,-,-,-,-,90-92
40,45,35,45,45,45,45,-,35,-,-,-,-,-,-,-,-,91-93
40,55,50,45,55,40,45,-,-,40,-,40,-,-,-,-,-,90-92
40,55,60,45,60,45,40,45,-,-,30,-,-,-,-,-,-,92-94
40,45,40,40,45,45,50,45,-,-,30,-,-,-,-,-,-,90-92
40,50,50,40,55,45,45,-,-,-,-,-,-,-,-,-,-,92-94
40,30,40,40,30,45,45,-,-,35,-,-,-,-,-,-,-,90-92
40,45,30,40,50,40,-,-,-,40,-,40,-,-,-,-,-,91-93
40,45,50,40,50,45,40,-,40,-,-,-,-,-,-,-,-,91-93
40,45,45,45,45,45,45,-,-,-,-,45,-,-,-,-,-,90-92
40,45,45,40,45,40,40,-,-,-,-,40,-,-,-,-,-,90-92
40,45,40,35,45,45,35,-,-,40,-,-,-,-,-,-,-,93-95
40,45,25,35,45,40,40,-,-,40,-,-,-,-,-,-,-,91-93
40,30,35,40,25,45,35,-,40,40,-,-,-,-,-,-,-,92-94
40,50,40,45,55,45,40,-,40,-,-,40,-,-,-,-,-,91-93
40,45,30,40,45,45,35,-,-,-,40,-,-,-,-,-,-,92-94
40,55,60,50,60,45,45,-,-,40,-,40,-,-,-,-,-,93-95
40,50,45,50,50,40,50,-,-,35,45,-,-,-,-,-,-,88-90
40,50,30,45,50,40,45,-,-,45,40,-,-,-,-,-,-,90-92
40,50,55,45,50,45,55,-,-,40,-,-,-,-,-,-,-,89-91
40,45,30,45,40,40,-,-,-,40,-,40,-,-,-,-,-,89-91
40,50,50,45,50,40,50,-,-,-,-,45,-,-,-,-,-,89-91
40,45,40,45,50,40,35,-,-,40,40,-,-,-,-,-,-,90-92
40,50,55,45,50,-,-,40,-,-,-,40,-,-,-,-,-,90-92
40,35,30,45,35,45,40,-,-,35,-,-,-,-,-,-,-,91-93
40,45,45,40,45,40,40,-,40,45,-,-,-,-,-,-,-,91-93
40,50,35,40,55,45,40,-,-,40,-,-,-,45,-,-,-,91-93
40,45,40,50,45,-,50,-,40,-,-,-,-,-,-,-,50,88-90
40,40,40,35,40,50,35,-,45,35,-,-,-,-,-,-,-,95-97
40,60,55,45,70,40,50,-,-,-,-,45,-,-,-,-,-,89-91
40,70,55,55,70,40,-,-,45,45,-,-,-,-,-,-,-,89-91
40,45,20,45,45,40,50,-,-,-,50,-,-,-,-,-,-,88-90
40,45,45,40,45,40,45,-,-,-,45,-,-,-,-,-,-,90-92
40,45,45,40,45,40,40,-,35,-,-,-,-,-,-,-,-,89-91
40,45,20,40,45,45,45,-,-,40,-,-,-,-,-,-,-,91-93
40,40,30,45,40,45,40,45,-,45,-,-,-,-,-,-,-,92-94
40,45,30,40,45,40,40,40,-,40,-,-,-,-,-,-,-,91-93
40,50,45,45,55,40,-,-,40,-,-,-,-,-,-,-,-,89-91
40,45,35,45,40,35,35,-,-,35,-,-,-,-,-,-,-,90-92
40,40,50,40,40,40,45,-,-,-,45,-,-,-,-,-,-,89-91
40,55,30,50,55,45,50,-,40,-,-,-,-,-,-,-,-,90-92
40,35,40,40,35,40,25,-,-,35,-,-,-,-,-,-,-,90-92
40,45,35,45,45,40,40,40,40,-,-,-,-,-,-,-,-,90-92
40,35,30,45,35,45,50,-,-,-,40,-,-,-,-,-,-,89-91
40,40,25,35,45,40,50,-,-,-,50,-,-,-,-,-,-,87-89
40,45,50,45,45,45,-,-,45,-,-,-,-,-,-,25,-,91-93
40,40,30,40,40,45,45,-,40,-,-,-,-,-,-,30,-,90-92
40,35,30,45,35,45,45,50,40,-,-,-,-,-,-,-,-,90-92
40,50,70,40,55,40,-,-,-,-,-,-,-,50,-,-,-,88-90
40,45,30,45,45,45,45,-,45,-,-,-,-,-,-,-,-,90-92
40,40,30,45,40,50,50,-,-,-,-,-,-,-,-,-,-,92-94
40,50,20,45,50,40,40,40,40,-,40,-,-,-,-,-,-,90-92
40,70,75,50,80,-,-,45,-,45,-,-,-,50,-,-,-,90-92
40,50,55,50,50,40,50,50,-,-,45,-,-,-,-,-,-,89-91
40,45,40,45,45,45,50,-,-,-,-,45,-,-,-,-,-,88-90
40,50,50,40,55,-,45,45,45,-,45,45,-,-,-,45,-,91-93
40,40,40,45,40,40,-,45,-,40,-,-,-,-,-,-,-,88-90
40,35,30,40,35,50,35,40,45,-,-,-,-,-,-,-,-,95-97
40,55,70,60,55,55,-,-,30,-,-,-,-,-,-,-,-,93-95
40,40,30,40,40,45,40,-,-,45,-,-,-,-,-,-,-,91-93
40,50,45,45,55,40,-,-,40,45,40,-,-,-,-,-,-,89-91
40,50,40,35,60,45,45,-,-,-,-,-,50,-,-,-,-,92-94
40,40,30,35,40,40,50,-,35,-,-,-,-,-,-,-,-,88-90
40,40,45,40,45,40,35,45,-,45,40,-,-,-,-,-,-,92-94
40,50,50,45,50,40,45,45,-,-,45,-,-,-,-,-,-,89-91
40,45,35,45,45,40,50,-,-,-,35,-,-,-,-,-,-,88-90
40,30,20,35,30,-,45,40,40,-,45,40,-,-,-,45,-,91-93
40,50,55,45,55,40,40,-,40,45,-,-,-,-,-,-,-,89-91
40,60,60,50,60,40,45,-,40,40,45,40,-,-,-,-,-,90-92
40,40,25,45,40,40,45,-,-,-,45,-,-,-,-,-,-,88-90
40,35,30,45,35,40,45,45,-,-,-,-,-,-,-,-,-,89-91
40,45,50,45,45,45,45,-,35,45,-,-,-,-,-,-,-,90-92
40,45,20,45,50,40,50,-,-,-,-,-,-,-,-,35,-,89-91
40,45,30,45,45,-,45,50,-,-,-,-,-,-,-,-,50,95-97
40,45,30,45,45,40,45,-,40,45,-,-,-,-,-,-,-,90-92
40,45,45,40,45,-,45,40,40,-,-,40,-,45,-,-,-,89-91
40,45,20,45,50,45,40,-,-,40,-,-,-,-,-,-,-,92-94
40,40,25,40,40,40,40,40,40,-,45,-,-,-,-,-,-,89-91
40,30,30,40,30,40,40,40,45,-,40,-,-,-,-,40,-,89-91
40,50,60,45,50,40,45,-,45,-,-,-,-,-,-,-,-,90-92
40,50,65,50,50,35,55,-,-,-,50,-,-,-,-,20,-,88-90
40,30,30,45,25,40,40,-,-,45,-,-,-,-,-,-,-,90-92
40,45,25,50,40,45,20,45,40,40,-,-,-,-,-,-,-,93-95
40,45,40,40,50,-,-,-,40,45,45,-,-,-,-,-,-,90-92
40,50,55,45,50,-,40,45,45,-,30,50,-,-,-,-,-,88-90
40,45,40,45,45,40,35,-,40,-,-,-,-,-,-,-,-,90-92
40,40,35,40,40,45,-,-,45,-,-,40,-,-,-,-,-,92-94
40,45,30,45,45,45,40,-,-,40,-,-,-,-,-,-,-,91-93
40,50,40,40,50,40,35,40,40,40,45,-,-,-,-,-,-,90-92
40,45,45,40,50,40,45,-,-,-,45,-,-,-,-,-,-,89-91
40,45,40,40,45,45,45,-,45,-,-,-,-,-,-,-,-,92-94
40,60,60,50,65,45,45,-,-,50,-,-,-,-,-,-,-,92-94
40,55,45,45,65,40,50,-,-,45,-,45,-,-,-,-,-,89-91
40,50,65,45,50,40,-,-,40,45,-,-,-,-,-,-,-,90-92
40,55,55,45,65,40,40,-,-,-,-,45,-,-,-,-,-,90-92
40,50,45,50,45,50,45,-,-,-,35,-,-,-,-,-,-,92-94
40,40,45,40,45,45,35,-,-,-,35,-,-,-,-,-,-,92-94
40,45,45,40,45,40,35,35,35,-,-,-,-,-,-,-,-,91-93
40,35,25,45,35,40,40,-,-,-,40,-,-,-,-,-,-,89-91
40,40,35,35,40,45,35,-,-,-,-,-,-,-,-,35,-,90-92
40,50,50,45,55,50,45,35,-,40,-,-,-,-,-,-,-,93-95
40,50,25,45,50,40,45,45,45,-,45,-,-,-,-,-,-,90-92
40,40,30,45,35,40,45,-,45,-,50,-,-,-,-,-,-,88-90
40,65,55,50,70,40,55,-,-,-,-,50,-,-,-,-,-,88-90
40,45,45,40,50,40,40,45,-,40,-,-,-,-,-,-,-,90-92
40,40,40,35,45,40,40,-,-,-,30,-,-,-,-,-,-,91-93
40,50,40,45,50,45,45,-,40,-,-,-,-,-,-,-,-,90-92
40,40,50,40,40,40,45,-,-,-,-,-,-,-,-,45,-,90-92
40,35,25,45,30,45,-,-,-,40,-,40,-,-,-,-,-,93-95
40,45,45,55,45,-,45,45,-,-,-,-,-,-,-,-,50,87-89
40,55,50,50,60,-,45,-,40,45,45,-,-,-,-,40,-,88-90
40,50,30,45,50,45,45,-,-,-,40,-,-,-,-,-,-,90-92
40,45,45,40,45,40,45,-,-,-,-,40,-,-,-,-,-,89-91
40,45,30,45,45,45,-,40,-,-,-,-,-,-,-,-,-,92-94
40,40,25,40,45,40,45,-,-,45,-,-,-,-,-,-,-,89-91
40,80,50,50,80,40,65,-,-,55,-,-,-,-,-,-,-,87-89
40,45,30,45,45,45,-,-,50,-,-,45,-,-,30,-,-,93-95
40,40,50,45,40,-,35,40,45,-,-,40,-,-,-,-,-,91-93
40,40,40,40,40,45,40,40,-,-,40,-,-,-,45,40,-,92-94
40,45,35,40,45,45,45,-,45,-,-,-,-,-,-,-,-,91-93
40,40,25,35,45,40,45,-,-,45,-,40,-,-,-,-,-,88-90
40,45,30,45,50,40,45,45,40,-,40,-,-,-,-,30,-,90-92
40,50,65,50,45,40,-,-,-,-,45,-,-,-,-,-,-,89-91
40,45,30,45,45,35,40,-,-,40,-,45,-,-,-,-,-,88-90
40,40,30,45,35,40,40,-,-,40,-,-,-,-,-,-,-,90-92
40,45,40,45,45,45,50,25,-,-,-,45,-,-,-,-,-,89-91
40,35,30,45,30,40,-,-,35,-,-,-,-,-,-,-,-,90-92
40,45,40,45,40,35,-,40,-,-,35,40,-,-,-,-,-,88-90
40,40,30,50,40,45,45,-,40,-,-,-,40,-,-,-,-,92-94
40,45,50,40,50,45,40,-,-,-,-,-,-,-,-,40,-,93-95
40,40,45,35,40,40,35,-,35,40,-,-,-,-,-,-,-,91-93
45,55,45,45,60,45,50,-,45,40,-,-,-,-,-,-,-,90-92
45,40,40,40,45,55,45,-,-,-,-,50,-,-,-,-,-,93-95
45,40,60,45,40,45,50,-,50,50,-,-,-,-,-,-,-,89-91
45,45,50,45,45,-,55,50,50,-,-,45,-,-,-,-,-,92-94
45,55,50,40,70,-,55,-,50,-,-,50,-,-,-,-,-,90-92
45,35,35,35,35,45,40,40,40,45,45,-,-,-,-,-,-,91-93
45,45,50,45,45,50,40,-,50,40,-,-,-,-,-,-,-,93-95
45,45,45,45,45,45,45,45,45,50,-,45,-,-,-,-,-,91-93
45,50,45,40,55,-,45,45,45,-,45,45,-,-,-,50,-,93-95
45,40,35,45,35,60,50,-,-,40,-,-,-,-,-,-,-,94-96
45,45,40,40,45,50,50,-,45,-,-,-,-,-,-,-,-,91-93
45,55,55,45,60,50,60,-,-,-,45,-,-,-,-,-,-,91-93
45,45,55,45,45,65,45,-,55,-,-,-,-,-,-,-,-,97-99
45,45,40,45,45,-,50,65,-,-,-,45,-,-,-,-,-,94-96
45,35,30,35,35,45,45,-,-,35,-,45,-,-,-,-,-,90-92
45,45,45,40,50,50,50,-,40,-,-,-,-,-,-,-,-,92-94
45,45,50,50,40,-,50,50,-,-,35,50,-,-,-,-,-,93-95
45,50,60,45,50,50,45,-,-,-,-,50,-,-,-,-,-,94-96
45,45,40,45,50,45,60,-,50,-,-,-,-,-,-,-,-,89-91
45,45,45,45,50,50,60,-,45,-,-,-,-,-,-,-,-,92-94
45,45,45,40,45,45,40,-,-,-,45,-,-,-,45,-,-,92-94
45,50,55,45,50,50,40,-,45,-,35,-,-,-,-,-,-,94-96
45,45,45,40,45,45,55,-,-,-,35,-,-,-,-,-,-,89-91
45,50,45,50,50,50,-,-,-,55,20,-,-,-,-,-,-,92-94
45,45,45,50,45,-,45,35,50,-,30,50,-,-,-,-,-,91-93
45,45,50,45,45,45,40,-,-,45,-,-,-,-,-,-,-,93-95
45,50,70,55,50,50,50,-,-,-,-,35,-,-,-,-,-,92-94
45,45,45,45,45,45,50,-,-,40,-,-,-,-,-,-,-,91-93
45,40,45,40,40,45,55,-,40,50,-,-,-,-,-,-,-,89-91
45,45,50,50,45,50,-,50,-,50,-,25,-,-,-,-,-,91-93
45,55,40,45,55,-,-,-,50,-,55,50,-,-,-,-,-,90-92
45,45,45,40,45,50,45,-,50,-,40,-,-,-,-,-,-,93-95
45,55,50,45,55,50,50,-,-,55,45,-,-,-,-,-,-,92-94
45,60,55,45,70,45,65,45,-,50,-,-,-,-,-,-,-,89-91
45,45,35,45,45,50,50,55,-,-,55,-,-,-,-,-,-,93-95
45,50,35,45,50,45,50,-,45,50,50,-,-,-,-,-,-,90-92
45,55,50,45,60,-,50,45,45,-,45,45,-,-,-,45,-,90-92
45,45,40,40,50,50,50,-,-,-,50,-,-,-,-,-,-,93-95
45,45,45,45,45,35,50,60,-,-,55,-,-,-,-,-,-,89-91
45,45,40,45,45,45,50,-,-,-,50,-,-,-,-,-,-,91-93
45,40,55,45,40,55,45,-,-,-,50,-,-,-,-,-,-,92-94
45,50,20,50,50,45,55,50,45,-,50,-,-,-,-,-,-,91-93
45,40,30,40,45,50,50,-,55,-,-,-,-,-,-,35,-,93-95
45,40,45,50,35,50,50,-,-,-,-,50,-,-,-,-,-,91-93
45,45,45,45,45,50,45,-,50,-,-,-,-,-,-,-,-,91-93
45,40,45,40,40,50,50,50,50,-,-,-,-,-,-,-,-,92-94
45,45,40,40,45,45,-,-,45,50,-,-,-,-,-,-,-,89-91
45,50,40,45,55,50,-,-,40,50,50,-,-,-,-,45,-,92-94
45,45,50,45,45,50,50,-,40,-,50,-,-,-,-,-,-,92-94
45,45,30,35,45,-,45,-,-,-,50,50,-,-,-,-,-,94-96
45,50,50,50,50,50,-,65,55,-,-,-,-,-,-,-,-,93-95
45,45,45,40,45,-,35,50,60,-,-,50,-,-,-,-,-,92-94
45,45,40,40,50,40,55,40,50,-,-,-,-,-,-,-,-,89-91
45,45,40,40,50,45,35,50,45,45,50,-,-,-,-,-,-,91-93
45,40,40,40,40,55,45,-,-,-,-,50,-,-,-,-,-,93-95
45,35,35,45,35,55,45,45,-,-,50,-,-,-,-,-,-,94-96
45,45,45,40,45,55,-,55,-,50,-,-,-,-,-,-,-,93-95
45,35,40,40,35,55,50,-,50,-,-,-,-,-,-,-,-,94-96
45,50,50,50,55,-,65,45,35,-,-,50,-,-,30,-,-,91-93
45,45,45,45,50,45,45,-,45,45,-,50,-,-,-,-,-,93-95
45,45,45,35,45,50,50,-,-,45,-,-,-,-,-,-,-,92-94
45,50,50,40,55,-,55,55,-,-,40,55,-,-,-,-,-,94-96
45,80,75,50,80,-,55,45,-,45,50,-,-,-,-,50,-,90-92
45,35,50,40,35,45,35,55,-,45,-,-,-,-,-,-,-,88-90
45,50,50,45,50,60,50,-,60,-,-,-,-,-,-,-,-,94-96
45,45,45,45,50,45,50,45,-,45,-,50,-,-,-,-,-,90-92
45,45,45,45,50,45,50,-,45,-,-,-,-,-,-,-,-,90-92
45,50,50,45,50,50,45,-,-,40,-,-,-,-,-,-,-,92-94
45,60,50,45,70,45,50,50,-,45,50,-,-,-,-,45,-,92-94
45,50,30,45,50,45,-,50,35,50,-,-,-,-,-,-,-,90-92
45,45,45,45,45,55,45,45,-,40,-,-,-,50,-,-,-,95-97
45,50,55,45,55,50,60,55,-,-,50,-,-,-,-,-,-,92-94
45,40,50,45,40,50,40,-,-,45,-,45,-,-,-,-,-,95-97
45,45,35,50,45,45,30,-,-,45,-,45,-,-,-,-,-,89-91
45,45,55,55,45,55,-,-,-,30,-,-,-,50,-,65,-,93-95
45,40,45,45,40,55,40,50,-,40,-,-,-,-,-,-,-,94-96
45,45,50,45,45,65,40,-,55,-,-,-,-,-,-,-,-,97-99
45,50,45,50,55,50,-,60,-,45,-,-,-,-,-,-,-,91-93
45,45,45,45,45,55,50,-,-,50,-,-,-,-,-,-,-,94-96
45,50,35,45,55,-,45,-,55,-,-,50,60,-,-,-,-,95-97
45,50,50,50,50,65,35,-,60,-,-,-,-,45,-,-,-,95-97
45,45,45,40,45,50,-,55,-,50,-,-,-,-,-,-,-,93-95
45,40,35,45,40,50,40,-,-,40,45,-,-,-,-,-,-,95-97
45,50,50,50,50,50,-,-,45,45,35,45,-,-,-,-,-,95-97
45,40,35,40,40,65,45,-,50,-,-,-,-,-,-,-,-,94-96
45,50,55,45,55,45,70,-,45,-,-,-,-,-,-,-,-,90-92
45,35,25,45,30,40,50,-,45,45,-,-,-,-,-,-,-,88-90
45,55,40,45,65,45,50,40,-,-,-,50,-,-,-,-,-,91-93
45,40,30,45,40,55,-,-,50,-,-,-,-,-,-,-,-,94-96
45,55,50,40,65,45,55,50,50,-,-,-,-,-,-,-,-,91-93
45,40,30,40,40,50,45,50,50,50,-,-,-,-,-,-,-,94-96
45,45,50,45,45,45,50,50,-,-,-,-,-,-,-,-,-,90-92
45,45,65,50,45,-,50,-,50,-,-,60,-,-,-,-,-,94-96
45,45,30,45,45,55,45,40,50,-,-,-,-,-,-,-,-,94-96
45,45,45,40,50,45,55,-,-,-,60,30,-,-,-,-,-,89-91
45,50,50,45,50,50,50,-,50,-,-,-,-,-,-,-,-,92-94
45,35,50,45,35,45,40,-,-,-,40,40,-,-,-,-,-,93-95
45,40,50,35,40,50,45,-,40,45,-,-,-,-,-,-,-,92-94
45,50,35,45,50,45,40,55,45,45,50,-,-,-,-,-,-,89-91
45,35,35,40,35,50,35,50,-,50,-,-,-,-,-,-,-,93-95
45,45,30,40,50,45,55,-,35,50,-,-,-,-,-,-,-,90-92
45,50,50,50,50,50,45,-,-,50,35,-,-,-,-,-,-,93-95
45,50,50,40,55,50,45,40,45,45,-,-,-,-,-,-,-,93-95
45,45,35,40,45,-,50,55,45,-,-,50,-,-,-,30,-,89-91
45,45,30,40,45,60,-,45,-,45,-,-,-,-,-,-,-,97-99
45,50,45,45,55,45,-,-,-,45,-,35,25,-,-,-,-,91-93
45,45,50,45,50,40,50,-,50,50,-,-,-,-,-,-,-,91-93
45,45,45,45,50,60,50,-,-,40,-,-,-,-,-,-,-,94-96
45,45,45,45,45,50,45,50,-,45,-,-,-,-,-,-,-,91-93
45,40,40,40,45,45,40,-,45,-,-,-,-,-,-,-,-,91-93
45,45,20,40,50,50,-,-,50,-,-,-,-,-,-,-,-,92-94
45,50,45,40,50,55,50,-,-,-,-,-,-,-,-,55,-,94-96
45,35,35,45,30,70,45,-,55,-,-,-,-,-,-,-,-,95-97
45,45,50,45,50,45,50,-,-,45,-,45,-,-,-,-,-,89-91
45,45,45,40,50,50,40,-,-,-,-,45,-,-,-,-,-,95-97
45,45,40,50,45,-,45,55,50,-,-,55,-,-,-,-,-,91-93
45,50,60,50,50,45,-,-,40,45,-,-,-,-,-,-,-,92-94
45,45,45,45,45,45,50,-,-,45,-,50,-,50,-,-,-,90-92
45,40,40,40,40,50,40,45,-,45,-,-,-,-,-,-,-,94-96
45,50,65,55,50,45,-,-,-,45,-,-,-,-,-,-,-,91-93
45,50,50,45,55,45,50,-,40,-,-,50,-,-,-,-,-,91-93
45,40,45,45,40,45,35,50,-,45,-,-,-,-,-,-,-,91-93
45,45,50,45,40,50,45,45,40,-,-,-,-,-,45,-,-,92-94
45,35,20,40,35,50,45,-,50,45,-,-,-,-,-,-,-,93-95
45,50,50,45,50,45,45,-,-,-,45,-,-,-,-,-,-,91-93
45,50,50,40,50,45,45,-,-,45,-,45,-,-,-,-,-,90-92
45,50,60,50,50,50,40,-,50,40,50,-,-,-,-,-,-,92-94
45,40,45,45,40,40,45,-,-,-,-,45,-,-,-,-,-,89-91
45,50,25,45,55,50,60,-,-,50,-,-,-,-,-,-,-,92-94
45,50,50,50,50,45,40,45,45,-,-,-,-,-,-,-,-,91-93
45,40,30,45,40,50,50,-,55,-,-,-,-,-,-,-,-,92-94
45,45,45,45,45,55,-,45,-,-,-,-,-,-,-,-,-,95-97
45,40,45,40,40,50,40,-,-,45,-,-,-,-,-,-,-,92-94
45,45,50,50,45,50,-,40,50,-,-,-,-,-,-,-,-,90-92
45,50,45,45,50,45,45,50,-,45,-,-,-,-,-,-,-,91-93
45,25,25,40,20,45,45,50,-,-,-,-,-,-,-,-,-,90-92
45,40,30,50,40,55,50,-,-,-,50,-,-,-,-,-,-,94-96
45,35,30,45,35,45,50,-,-,-,-,50,-,-,-,-,-,91-93
45,45,50,45,45,-,55,-,-,-,-,50,-,-,-,-,-,92-94
45,30,40,45,30,55,50,-,35,-,-,-,-,-,-,-,-,92-94
45,40,30,45,40,45,40,45,45,-,40,-,-,-,-,45,-,92-94
45,50,50,45,50,45,45,-,-,45,-,-,-,-,-,-,-,90-92
45,45,30,40,50,50,40,-,45,45,-,-,-,-,-,-,-,94-96
45,60,80,50,65,-,55,-,-,-,-,45,-,-,-,-,-,89-91
45,35,45,40,30,70,45,-,-,-,35,-,-,-,-,-,-,95-97
45,45,30,40,50,50,55,-,40,-,-,-,-,-,-,-,-,91-93
45,45,55,45,45,55,55,-,45,-,-,-,-,-,-,-,-,93-95
45,35,35,45,30,55,-,50,-,-,-,-,-,-,-,65,-,94-96
45,45,30,40,45,65,45,50,-,-,-,-,-,-,-,50,-,97-99
45,35,40,40,35,45,45,30,-,-,45,45,-,-,-,-,-,91-93
45,50,40,45,50,55,50,-,-,55,-,-,-,-,-,-,-,93-95
45,45,40,40,45,50,55,-,-,-,35,-,-,-,-,-,-,90-92
45,50,30,50,55,60,50,-,50,-,-,-,-,-,-,-,-,93-95
45,60,50,45,70,40,45,50,-,45,-,-,-,-,-,-,-,89-91
45,45,35,45,45,-,50,50,-,-,50,50,-,-,-,-,-,92-94
45,55,50,45,65,50,55,-,-,50,50,-,-,-,-,-,-,93-95
45,55,55,50,60,50,-,40,-,50,-,-,-,-,-,-,-,94-96
45,45,50,50,45,50,-,-,-,45,-,-,-,-,-,-,-,92-94
45,50,35,45,50,45,55,-,-,-,-,50,-,-,-,-,-,87-89
45,55,65,55,55,50,50,-,-,30,-,-,-,45,-,60,-,91-93
45,65,65,45,75,-,50,-,50,-,50,45,-,-,-,40,-,92-94
45,45,20,35,45,45,50,55,-,-,-,50,-,-,-,-,-,90-92
45,50,50,45,50,50,50,-,-,-,-,45,-,-,-,-,-,92-94
45,50,30,50,50,50,50,50,45,-,55,-,-,-,-,-,-,90-92
45,45,40,40,50,45,40,40,45,45,40,-,-,-,-,-,-,92-94
45,45,45,40,45,45,50,-,-,-,-,50,-,-,-,-,-,89-91
45,45,20,40,50,50,-,-,-,45,-,45,-,-,-,-,-,92-94
45,65,50,55,70,45,-,45,-,45,-,-,-,-,-,-,-,92-94
45,45,45,35,45,55,50,-,-,-,60,-,-,-,-,-,-,92-94
45,45,30,40,45,55,50,-,-,50,-,-,-,-,-,-,-,93-95
45,45,45,40,45,45,55,-,50,-,-,-,-,-,-,-,-,89-91
45,45,45,45,50,50,50,-,50,-,-,-,-,35,40,-,-,91-93
45,35,45,40,35,45,40,-,45,45,-,45,-,-,-,-,-,90-92
45,40,45,45,40,60,45,-,-,-,35,-,-,-,-,-,-,95-97
45,35,20,45,30,45,45,35,-,-,45,-,-,-,-,-,-,90-92
45,45,35,45,45,45,50,55,-,-,50,-,45,-,-,-,-,90-92
45,45,50,50,45,70,-,-,35,-,-,-,-,-,-,-,-,95-97
45,50,45,40,50,50,35,-,-,45,-,40,-,-,-,-,-,95-97
45,35,45,40,35,45,50,50,45,-,50,45,-,-,-,-,-,90-92
45,45,45,40,45,45,35,35,-,-,40,45,-,-,-,-,-,94-96
45,50,35,40,55,50,40,-,50,-,-,-,-,-,-,-,-,94-96
45,45,25,45,45,45,45,-,50,-,-,-,-,-,-,-,-,94-96
45,40,45,50,35,50,-,-,55,-,45,-,-,-,-,-,-,93-95
45,55,45,50,55,60,40,-,-,50,-,-,-,-,-,-,-,95-97
45,45,45,40,45,45,45,-,50,-,35,-,-,-,-,-,-,91-93
45,50,45,50,50,50,-,60,-,40,-,-,-,-,-,-,-,92-94
45,60,80,50,65,45,50,-,-,40,50,-,-,-,-,-,-,90-92
45,45,45,45,45,45,-,-,-,45,35,50,-,-,-,-,-,93-95
